"date","traffic"
Jan 1949,112
Feb 1949,118
Mar 1949,132
Apr 1949,129
May 1949,121
Jun 1949,135
Jul 1949,148
Aug 1949,148
Sep 1949,136
Oct 1949,119
Nov 1949,104
Dec 1949,118
Jan 1950,115
Feb 1950,126
Mar 1950,141
Apr 1950,135
May 1950,125
Jun 1950,149
Jul 1950,170
Aug 1950,170
Sep 1950,158
Oct 1950,133
Nov 1950,114
Dec 1950,140
Jan 1951,145
Feb 1951,150
Mar 1951,178
Apr 1951,163
May 1951,172
Jun 1951,178
Jul 1951,199
Aug 1951,199
Sep 1951,184
Oct 1951,162
Nov 1951,146
Dec 1951,166
Jan 1952,171
Feb 1952,180
Mar 1952,193
Apr 1952,181
May 1952,183
Jun 1952,218
Jul 1952,230
Aug 1952,242
Sep 1952,209
Oct 1952,191
Nov 1952,172
Dec 1952,194
Jan 1953,196
Feb 1953,196
Mar 1953,236
Apr 1953,235
May 1953,229
Jun 1953,243
Jul 1953,264
Aug 1953,272
Sep 1953,237
Oct 1953,211
Nov 1953,180
Dec 1953,201
Jan 1954,204
Feb 1954,188
Mar 1954,235
Apr 1954,227
May 1954,234
Jun 1954,264
Jul 1954,302
Aug 1954,293
Sep 1954,259
Oct 1954,229
Nov 1954,203
Dec 1954,229
Jan 1955,242
Feb 1955,233
Mar 1955,267
Apr 1955,269
May 1955,270
Jun 1955,315
Jul 1955,364
Aug 1955,347
Sep 1955,312
Oct 1955,274
Nov 1955,237
Dec 1955,278
Jan 1956,284
Feb 1956,277
Mar 1956,317
Apr 1956,313
May 1956,318
Jun 1956,374
Jul 1956,413
Aug 1956,405
Sep 1956,355
Oct 1956,306
Nov 1956,271
Dec 1956,306
Jan 1957,315
Feb 1957,301
Mar 1957,356
Apr 1957,348
May 1957,355
Jun 1957,422
Jul 1957,465
Aug 1957,467
Sep 1957,404
Oct 1957,347
Nov 1957,305
Dec 1957,336
Jan 1958,340
Feb 1958,318
Mar 1958,362
Apr 1958,348
May 1958,363
Jun 1958,435
Jul 1958,491
Aug 1958,505
Sep 1958,404
Oct 1958,359
Nov 1958,310
Dec 1958,337
Jan 1959,360
Feb 1959,342
Mar 1959,406
Apr 1959,396
May 1959,420
Jun 1959,472
Jul 1959,548
Aug 1959,559
Sep 1959,463
Oct 1959,407
Nov 1959,362
Dec 1959,405
Jan 1960,417
Feb 1960,391
Mar 1960,419
Apr 1960,461
May 1960,472
Jun 1960,535
Jul 1960,622
Aug 1960,606
Sep 1960,508
Oct 1960,461
Nov 1960,390
Dec 1960,432
