"date","values.I2P","values.P2I","values.JPI"
1996-04-01,-2.58055555555556,-0.836444444444445,63.3
1996-05-01,-2.88225806451613,-1.97258064516129,66.3
1996-06-01,-1.74277777777778,-0.478777777777778,59.7
1996-07-01,-0.397795698924731,-1.57430107526882,63.3
1996-08-01,-0.977150537634409,-1.79731182795699,63.8
1996-09-01,-0.936512987012987,-0.380497354497355,60.5
1996-10-01,-1.85338709677419,-0.593655913978495,63.1
1996-11-01,-2.11372222222222,-2.03777777777778,63.6
1996-12-01,-2.70317204301075,-1.00725806451613,62.5
1997-01-01,-1.2073732718894,-0.539354838709677,59.5
1997-02-01,-1.43095238095238,-1.06488095238095,55.8
1997-03-01,-2.02937788018433,-3.08069892473118,61
1997-04-01,-3.49272222222222,-1.05111111111111,61
1997-05-01,-0.919354838709677,-0.144086021505376,62
1997-06-01,-4.20027777777778,-1.99888888888889,61
1997-07-01,-3.33521505376344,-1.19247311827957,62
1997-08-01,-3.39978494623656,-2.59677419354839,59.4
1997-09-01,-3.52288888888889,-2.70333333333333,57.3
1997-10-01,-3.71150537634409,-0.838709677419355,64.1
1997-11-01,-3.25861111111111,-1.44055555555556,60.6
1997-12-01,-2.00994623655914,-0.506182795698925,60.6
1998-01-01,-1.36866359447005,-1.3241935483871,64.6
1998-02-01,-2.63220238095238,-0.760714285714286,62.4
1998-03-01,-4.69397849462366,-1.42311827956989,59
1998-04-01,-1.13277777777778,-1.45888888888889,60.2
1998-05-01,-3.15483870967742,-1.65698924731183,58.1
1998-06-01,-1.81444444444444,-2.08444444444444,62.5
1998-07-01,0,0,50.9
1998-08-01,0,0,56.7
1998-09-01,-5.02138888888889,-0.695,58.4
1998-10-01,-0.824769585253456,-0.759101382488479,58.9
1998-11-01,-2.928,-1.81911111111111,63.9
1998-12-01,-1.42215053763441,-2.56881720430108,59.6
1999-01-01,-1.55430107526882,-0.408064516129032,64.5
1999-02-01,-2.00190476190476,-0.878571428571429,65.7
1999-03-01,-2.69623655913978,-1.20645161290323,64.5
1999-04-01,-2.13722222222222,-0.188333333333333,66.8
1999-05-01,-2.12483870967742,-0.894086021505376,67.1
1999-06-01,-1.1,-0.668333333333333,65
1999-07-01,-0.356451612903226,-0.0994623655913979,64.7
1999-08-01,-1.19155913978495,-0.0731182795698925,63.3
1999-09-01,0.123571428571429,0.492444444444444,61.2
1999-10-01,-0.774408602150538,-0.828387096774194,61.2
1999-11-01,-1.17233333333333,-0.28,62.4
1999-12-01,-0.575806451612903,-0.366129032258064,59.9
2000-01-01,-0.144301075268817,-0.434139784946237,58.6
2000-02-01,-0.586206896551724,-0.967241379310345,55.9
2000-03-01,-0.470967741935484,-0.176344086021505,54
2000-04-01,0.180555555555556,-0.170833333333333,56.4
2000-05-01,-2.3258064516129,-0.123118279569892,54.3
2000-06-01,-1.56888888888889,-0.614444444444444,64.6
2000-07-01,-0.448433179723502,-0.890376344086022,57.5
2000-08-01,-0.770698924731183,-1.81908602150538,56
2000-09-01,-0.576111111111111,-0.770555555555556,53.5
2000-10-01,-3.48752018590728,-3.42218125960061,52.7
2000-11-01,-3.94253703703704,-3.87671031746032,56.95
2000-12-01,-4.10255376344086,-1.41005376344086,57.7
2001-01-01,-2.11882046269143,-1.55033410138249,52.9
