"Manufacturer","Model","Type","Min.Price","Price","Max.Price","MPG.city","MPG.highway","AirBags","DriveTrain","Cylinders","EngineSize","Horsepower","RPM","Rev.per.mile","Man.trans.avail","Fuel.tank.capacity","Passengers","Length","Wheelbase","Width","Turn.circle","Rear.seat.room","Luggage.room","Weight","Origin","Make"
"Acura","Integra","Small",12.9,15.9,18.8,25,31,"None","Front","4",1.8,140,6300,2890,"Yes",13.2,5,177,102,68,37,26.5,NA,2705,"non-USA","Acura Integra"
NA,"Legend","Midsize",29.2,33.9,38.7,18,25,"Driver & Passenger","Front","6",3.2,200,5500,2335,"Yes",18,5,195,115,71,38,30,15,3560,"non-USA","Acura Legend"
"Audi","90","Compact",25.9,29.1,32.3,20,26,"Driver only","Front","6",2.8,172,5500,2280,"Yes",16.9,5,180,102,67,37,28,14,3375,"non-USA","Audi 90"
"Audi","100","Midsize",NA,37.7,44.6,19,26,"Driver & Passenger",NA,"6",NA,172,5500,2535,NA,21.1,6,193,106,NA,37,31,17,3405,"non-USA","Audi 100"
"BMW","535i","Midsize",NA,30,NA,22,30,NA,"Rear","4",3.5,208,5700,2545,"Yes",21.1,4,186,109,69,39,27,13,3640,"non-USA","BMW 535i"
"Buick","Century","Midsize",14.2,15.7,17.3,22,31,"Driver only",NA,"4",2.2,110,5200,2565,"No",16.4,6,189,105,69,41,28,16,NA,"USA","Buick Century"
"Buick","LeSabre","Large",19.9,20.8,NA,19,28,"Driver only","Front","6",3.8,170,4800,NA,"No",NA,6,200,111,74,42,30.5,17,3470,"USA","Buick LeSabre"
"Buick","Roadmaster","Large",22.6,23.7,24.9,16,25,"Driver only","Rear","6",5.7,180,4000,1320,"No",23,6,216,116,78,45,30.5,21,4105,"USA","Buick Roadmaster"
"Buick","Riviera","Midsize",26.3,26.3,26.3,19,27,"Driver only","Front","6",3.8,170,4800,1690,"No",18.8,5,198,108,NA,41,26.5,14,3495,"USA","Buick Riviera"
"Cadillac","DeVille","Large",33,34.7,36.3,16,25,"Driver only","Front","8",4.9,200,4100,NA,"No",18,6,206,114,73,43,35,18,3620,"USA","Cadillac DeVille"
"Cadillac","Seville","Midsize",37.5,40.1,42.7,16,25,"Driver & Passenger","Front","8",4.6,295,6000,1985,"No",20,5,204,111,74,44,31,NA,3935,"USA","Cadillac Seville"
"Chevrolet","Cavalier","Compact",8.5,13.4,18.3,25,36,NA,NA,"4",2.2,NA,5200,2380,"Yes",15.2,5,182,101,66,38,25,13,2490,"USA","Chevrolet Cavalier"
"Chevrolet","Corsica","Compact",11.4,11.4,11.4,25,34,"Driver only","Front",NA,2.2,110,5200,2665,"Yes",15.6,5,184,103,68,39,26,NA,2785,"USA","Chevrolet Corsica"
"Chevrolet","Camaro","Sporty",13.4,15.1,16.8,19,28,"Driver & Passenger","Rear",NA,3.4,160,4600,1805,"Yes",NA,4,193,101,74,43,25,13,3240,"USA","Chevrolet Camaro"
"Chevrolet","Lumina","Midsize",13.4,15.9,18.4,NA,29,"None","Front","4",2.2,NA,5200,2595,"No",16.5,6,NA,108,71,NA,28.5,16,3195,"USA","Chevrolet Lumina"
"Chevrolet","Lumina_APV","Van",14.7,16.3,18,18,23,"None","Front","6",3.8,170,4800,1690,"No",20,7,178,110,74,44,30.5,NA,3715,"USA","Chevrolet Lumina_APV"
"Chevrolet","Astro","Van",14.7,16.6,18.6,15,20,"None","4WD","6",4.3,NA,4000,1790,"No",27,8,194,111,78,42,33.5,NA,4025,"USA","Chevrolet Astro"
"Chevrolet","Caprice","Large",18,18.8,19.6,17,26,"Driver only","Rear","8",5,170,4200,1350,"No",23,6,214,116,77,42,29.5,20,3910,"USA","Chevrolet Caprice"
"Chevrolet","Corvette","Sporty",34.6,38,41.5,17,25,"Driver only","Rear","8",5.7,300,5000,1450,"Yes",20,2,179,96,74,43,NA,NA,3380,NA,"Chevrolet Corvette"
NA,"Concorde","Large",18.4,18.4,18.4,20,28,"Driver & Passenger","Front","6",3.3,153,5300,1990,"No",18,6,203,113,74,NA,31,15,3515,"USA","Chrylser Concorde"
"Chrysler","LeBaron","Compact",14.5,15.8,17.1,23,28,"Driver & Passenger","Front","4",3,141,5000,2090,"No",16,6,183,104,68,41,30.5,14,3085,"USA","Chrysler LeBaron"
"Chrysler","Imperial","Large",29.5,29.5,29.5,20,26,"Driver only","Front","6",3.3,147,4800,1785,"No",16,6,203,110,69,44,36,17,3570,"USA","Chrysler Imperial"
"Dodge","Colt","Small",7.9,9.2,10.6,29,33,"None","Front","4",1.5,92,6000,3285,"Yes",NA,5,174,98,66,32,NA,11,2270,"USA","Dodge Colt"
"Dodge","Shadow","Small",8.4,11.3,14.2,23,29,"Driver only","Front","4",2.2,93,4800,NA,"Yes",14,5,172,97,67,38,26.5,NA,2670,"USA","Dodge Shadow"
"Dodge","Spirit","Compact",11.9,13.3,14.7,22,27,"Driver only","Front","4",2.5,100,4800,2535,"Yes",NA,6,181,104,68,39,30.5,NA,2970,"USA","Dodge Spirit"
"Dodge","Caravan","Van",NA,19,24.4,17,21,"Driver only","4WD","6",3,142,5000,1970,"No",20,7,175,112,72,42,26.5,NA,3705,"USA","Dodge Caravan"
"Dodge","Dynasty","Midsize",14.8,15.6,16.4,21,NA,"Driver only","Front",NA,2.5,100,4800,2465,"No",16,6,192,105,69,42,30.5,16,3080,"USA","Dodge Dynasty"
"Dodge","Stealth","Sporty",18.5,25.8,33.1,NA,24,"Driver only","4WD","6",3,300,6000,2120,"Yes",19.8,4,180,97,NA,40,20,11,3805,"USA","Dodge Stealth"
"Eagle","Summit","Small",7.9,12.2,16.5,29,33,"None","Front","4",1.5,92,6000,2505,"Yes",13.2,5,174,98,66,36,26.5,11,2295,"USA","Eagle Summit"
"Eagle","Vision","Large",NA,19.3,21.2,20,28,"Driver & Passenger","Front","6",3.5,NA,5800,1980,"No",18,6,202,113,74,40,30,15,3490,"USA","Eagle Vision"
"Ford","Festiva","Small",6.9,7.4,7.9,31,33,NA,"Front","4",1.3,63,5000,3150,"Yes",10,4,141,90,63,33,26,12,1845,"USA","Ford Festiva"
"Ford","Escort","Small",8.4,10.1,11.9,23,30,"None","Front","4",1.8,127,6500,2410,NA,13.2,5,171,98,67,36,28,12,2530,"USA","Ford Escort"
