"weight","Time","Chick","Diet"
42,0,1,1
51,4,1,1
59,8,1,1
64,12,1,1
76,16,1,1
93,20,1,1
106,24,1,1
125,28,1,1
149,32,1,1
171,36,1,1
199,40,1,1
205,42,1,1
40,0,2,1
49,4,2,1
58,8,2,1
72,12,2,1
84,16,2,1
103,20,2,1
122,24,2,1
138,28,2,1
162,32,2,1
187,36,2,1
209,40,2,1
215,42,2,1
43,0,3,1
39,4,3,1
55,8,3,1
67,12,3,1
84,16,3,1
99,20,3,1
115,24,3,1
138,28,3,1
163,32,3,1
187,36,3,1
198,40,3,1
202,42,3,1
42,0,4,1
49,4,4,1
56,8,4,1
67,12,4,1
74,16,4,1
87,20,4,1
102,24,4,1
108,28,4,1
136,32,4,1
154,36,4,1
160,40,4,1
157,42,4,1
41,0,5,1
42,4,5,1
48,8,5,1
60,12,5,1
79,16,5,1
106,20,5,1
141,24,5,1
164,28,5,1
197,32,5,1
199,36,5,1
220,40,5,1
223,42,5,1
41,0,6,1
49,4,6,1
59,8,6,1
74,12,6,1
97,16,6,1
124,20,6,1
141,24,6,1
148,28,6,1
155,32,6,1
160,36,6,1
160,40,6,1
157,42,6,1
41,0,7,1
49,4,7,1
57,8,7,1
71,12,7,1
89,16,7,1
112,20,7,1
146,24,7,1
174,28,7,1
218,32,7,1
250,36,7,1
288,40,7,1
305,42,7,1
42,0,8,1
50,4,8,1
61,8,8,1
71,12,8,1
84,16,8,1
93,20,8,1
110,24,8,1
116,28,8,1
126,32,8,1
134,36,8,1
125,40,8,1
42,0,9,1
51,4,9,1
59,8,9,1
68,12,9,1
85,16,9,1
96,20,9,1
90,24,9,1
92,28,9,1
93,32,9,1
100,36,9,1
100,40,9,1
98,42,9,1
41,0,10,1
44,4,10,1
52,8,10,1
63,12,10,1
74,16,10,1
81,20,10,1
89,24,10,1
96,28,10,1
101,32,10,1
112,36,10,1
120,40,10,1
124,42,10,1
43,0,11,1
51,4,11,1
63,8,11,1
84,12,11,1
112,16,11,1
139,20,11,1
168,24,11,1
177,28,11,1
182,32,11,1
184,36,11,1
181,40,11,1
175,42,11,1
41,0,12,1
49,4,12,1
56,8,12,1
62,12,12,1
72,16,12,1
88,20,12,1
119,24,12,1
135,28,12,1
162,32,12,1
185,36,12,1
195,40,12,1
205,42,12,1
41,0,13,1
48,4,13,1
53,8,13,1
60,12,13,1
65,16,13,1
67,20,13,1
71,24,13,1
70,28,13,1
71,32,13,1
81,36,13,1
91,40,13,1
96,42,13,1
41,0,14,1
49,4,14,1
62,8,14,1
79,12,14,1
101,16,14,1
128,20,14,1
164,24,14,1
192,28,14,1
227,32,14,1
248,36,14,1
259,40,14,1
266,42,14,1
41,0,15,1
49,4,15,1
56,8,15,1
64,12,15,1
68,16,15,1
68,20,15,1
67,24,15,1
68,28,15,1
41,0,16,1
45,4,16,1
49,8,16,1
51,12,16,1
57,16,16,1
51,20,16,1
54,24,16,1
42,0,17,1
51,4,17,1
61,8,17,1
72,12,17,1
83,16,17,1
89,20,17,1
98,24,17,1
103,28,17,1
113,32,17,1
123,36,17,1
133,40,17,1
142,42,17,1
39,0,18,1
35,4,18,1
43,0,19,1
48,4,19,1
55,8,19,1
62,12,19,1
65,16,19,1
71,20,19,1
82,24,19,1
88,28,19,1
106,32,19,1
120,36,19,1
144,40,19,1
157,42,19,1
41,0,20,1
47,4,20,1
54,8,20,1
58,12,20,1
65,16,20,1
73,20,20,1
77,24,20,1
89,28,20,1
98,32,20,1
107,36,20,1
115,40,20,1
117,42,20,1
40,0,21,2
50,4,21,2
62,8,21,2
86,12,21,2
125,16,21,2
163,20,21,2
217,24,21,2
240,28,21,2
275,32,21,2
307,36,21,2
318,40,21,2
331,42,21,2
41,0,22,2
55,4,22,2
64,8,22,2
77,12,22,2
90,16,22,2
95,20,22,2
108,24,22,2
111,28,22,2
131,32,22,2
148,36,22,2
164,40,22,2
167,42,22,2
43,0,23,2
52,4,23,2
61,8,23,2
73,12,23,2
90,16,23,2
103,20,23,2
127,24,23,2
135,28,23,2
145,32,23,2
163,36,23,2
170,40,23,2
175,42,23,2
42,0,24,2
52,4,24,2
58,8,24,2
74,12,24,2
66,16,24,2
68,20,24,2
70,24,24,2
71,28,24,2
72,32,24,2
72,36,24,2
76,40,24,2
74,42,24,2
40,0,25,2
49,4,25,2
62,8,25,2
78,12,25,2
102,16,25,2
124,20,25,2
146,24,25,2
164,28,25,2
197,32,25,2
231,36,25,2
259,40,25,2
265,42,25,2
42,0,26,2
48,4,26,2
57,8,26,2
74,12,26,2
93,16,26,2
114,20,26,2
136,24,26,2
147,28,26,2
169,32,26,2
205,36,26,2
236,40,26,2
251,42,26,2
39,0,27,2
46,4,27,2
58,8,27,2
73,12,27,2
87,16,27,2
100,20,27,2
115,24,27,2
123,28,27,2
144,32,27,2
163,36,27,2
185,40,27,2
192,42,27,2
39,0,28,2
46,4,28,2
58,8,28,2
73,12,28,2
92,16,28,2
114,20,28,2
145,24,28,2
156,28,28,2
184,32,28,2
207,36,28,2
212,40,28,2
233,42,28,2
39,0,29,2
48,4,29,2
59,8,29,2
74,12,29,2
87,16,29,2
106,20,29,2
134,24,29,2
150,28,29,2
187,32,29,2
230,36,29,2
279,40,29,2
309,42,29,2
42,0,30,2
48,4,30,2
59,8,30,2
72,12,30,2
85,16,30,2
98,20,30,2
115,24,30,2
122,28,30,2
143,32,30,2
151,36,30,2
157,40,30,2
150,42,30,2
42,0,31,3
53,4,31,3
62,8,31,3
73,12,31,3
85,16,31,3
102,20,31,3
123,24,31,3
138,28,31,3
170,32,31,3
204,36,31,3
235,40,31,3
256,42,31,3
41,0,32,3
49,4,32,3
65,8,32,3
82,12,32,3
107,16,32,3
129,20,32,3
159,24,32,3
179,28,32,3
221,32,32,3
263,36,32,3
291,40,32,3
305,42,32,3
39,0,33,3
50,4,33,3
63,8,33,3
77,12,33,3
96,16,33,3
111,20,33,3
137,24,33,3
144,28,33,3
151,32,33,3
146,36,33,3
156,40,33,3
147,42,33,3
41,0,34,3
49,4,34,3
63,8,34,3
85,12,34,3
107,16,34,3
134,20,34,3
164,24,34,3
186,28,34,3
235,32,34,3
294,36,34,3
327,40,34,3
341,42,34,3
41,0,35,3
53,4,35,3
64,8,35,3
87,12,35,3
123,16,35,3
158,20,35,3
201,24,35,3
238,28,35,3
287,32,35,3
332,36,35,3
361,40,35,3
373,42,35,3
39,0,36,3
48,4,36,3
61,8,36,3
76,12,36,3
98,16,36,3
116,20,36,3
145,24,36,3
166,28,36,3
198,32,36,3
227,36,36,3
225,40,36,3
220,42,36,3
41,0,37,3
48,4,37,3
56,8,37,3
68,12,37,3
80,16,37,3
83,20,37,3
103,24,37,3
112,28,37,3
135,32,37,3
157,36,37,3
169,40,37,3
178,42,37,3
41,0,38,3
49,4,38,3
61,8,38,3
74,12,38,3
98,16,38,3
109,20,38,3
128,24,38,3
154,28,38,3
192,32,38,3
232,36,38,3
280,40,38,3
290,42,38,3
42,0,39,3
50,4,39,3
