"i2p","p2i"
-10,-10
-77,-45.8000001907349
-14.0000000968575,-18.3000001907349
-10,-2
-20,0
-20.5,-7
-14,-41.2000000476837
0,-3.40000009536743
0.699999809265137,-13.4000000953674
1,0
-11.2000000476837,-9.60000014305115
-6.80000019073486,1
-6.79999995231628,-10.2000000029802
2,2.79999995231628
-20,0
0,0
-12,3.79999995231628
3.09999990463257,1.5
-3,-22.2000000476837
-1.40000009536743,-10
-27.3999998569489,-20.2000000029802
-4.40000009536743,0
-12.5999998152256,-9
0.499999970197678,-3.40000009536743
0.899999998509884,-4.70000009983778
-9.19999980926514,0
2.79999995231628,-0.400000005960464
2.99999999254942,7
-13.4000001996756,-10
2.29999998211861,-7.20000004768372
-5,-0.300000071525574
-12.2000000476837,0
-10.1000000014901,0
2.79999995231628,9
-10,-4
0,0
-2.40000009536743,1
-2.20000004768372,0
-1,-0.100000001490116
-4.50000009685755,-6
15,0
5.40000009536743,-10
0.600000023841858,0
-5.10000009834766,0
-4,-14.4000000953674
1,-3
6.2000000923872,-0.699999928474426
-2.40000005066395,0
0,-4
2.60000009834766,-2.30000007152557
-8.40000009536743,-6.50000009685755
-10.1000000014901,-23
-2.40000009536743,2.59999994933605
-19,-2.10000000149012
-0.200000002980232,0
-21.5,-43.5
-30.4000000953674,-9.40000009536743
-27.6000000014901,8.20000018924475
-5.5,-19
0,-4
-13.3000000715256,-5.30000007152557
-5.59999991208315,-3.40000009536743
-4.40000009536743,-10.4000000059605
-29.0000001937151,0
-3.00000004470348,1
6,0
-20.4000000953674,0
1.40000000596046,-10
-6,-6.40000009536743
0.300000190734863,-20.4000000953674
-21,-25.4000000953674
-52.4000000953674,0
-10.1000000014901,0
5.09999990463257,-4.20000000298023
0,0
0,-11
0,-2.20000004768372
0,-10.2000000029802
2,2.79999995231628
-17,-7
-2.40000009536743,-1
0.599999904632568,-7.40000009536743
0,-5
-22.0999999046326,-3.40000009536743
-20,-10
-8.30000019073486,0
-5.19999980926514,-9.09999990463257
-10,-10
-20.9000000953674,-6.40000009536743
0.400000095367432,-20
-6.59999990463257,-4
0,-4
0,-4.40000009536743
7.5,0
-50,-30
-18.3999998122454,2.79999995231628
-2.20000004768372,0
-20,-9.19999980926514
-22.1999998092651,-10
-10,-6.80000019073486
-4.40000009536743,-9
-18.400000192225,0
-42.3000001907349,0
-10,-10.2000000029802
-31,-14
0,-2.20000004768372
0,-10
0,-10
0,0
-10,0
-10,-2.40000009536743
-68.7999999076128,-2
0,0
5.40000009536743,0
0,-5
0,-8.30000019073486
-5,-2
-34.4000000953674,0
-80.2000000476837,-22.8000000566244
-22.3000000417233,-9.90000005066395
-4.10000002384186,-10.3000001907349
-3,-17.2000000476837
0.899999998509884,-0.400000095367432
6.79999999701977,2.79999995231628
3.1999998986721,0
5.19999980926514,0
6.5,-2
0.499999925494194,5.49999990314245
-4,0
16.5,-2
0,0
0,-2
0,0
-9.19999980926514,2.79999995231628
-31.4000000953674,0
-12.9000002890825,0
-7.69999976456165,0
-1.60000002384186,2.5
-28.1999998092651,-0.400000005960464
0,3
1,2.59999994933605
