CustomerID,Genre,Age,Annual_Income_(k$),Spending_Score
1,1,19,15,39
2,1,21,15,81
3,0,20,16,6
4,0,23,16,77
5,0,31,17,40
6,0,22,17,76
7,0,35,18,6
8,0,23,18,
9,1,64,19,3
10,0,30,19,72
11,1,67,19,14
12,0,35,19,99
13,0,58,,15
14,0,24,20,77
15,1,37,20,13
16,1,22,20,79
17,0,35,21,
18,1,20,21,66
19,1,,23,29
20,0,35,23,98
21,1,35,24,35
22,1,25,24,73
23,0,46,25,5
24,1,31,25,73
25,0,54,28,14
26,1,29,28,82
27,0,45,,32
28,1,35,28,61
29,0,40,29,31
30,0,23,29,87
31,1,60,30,4
32,0,21,30,73
33,1,53,33,4
34,1,18,33,92
35,0,49,33,14
36,0,21,33,81
37,0,,34,17
38,0,30,34,73
39,0,36,37,26
40,0,20,37,75
41,0,65,38,35
42,1,24,38,92
43,1,48,39,36
44,0,31,39,61
45,0,49,39,28
46,0,24,39,65
47,0,50,40,55
48,0,27,40,47
49,0,29,40,42
50,0,31,40,42
51,0,49,42,52
52,1,33,42,60
53,0,31,43,54
54,1,59,43,60
55,0,50,43,45
56,1,47,43,41
57,0,51,,50
58,1,69,44,46
59,0,27,46,51
60,1,53,46,46
61,1,70,46,56
62,1,19,46,55
63,0,67,47,52
64,0,54,47,59
65,1,63,48,51
66,1,18,48,59
67,0,43,48,50
68,0,68,,48
69,1,19,48,59
70,0,32,48,47
71,1,70,49,55
72,0,47,49,42
73,0,60,50,49
74,0,60,50,56
75,1,59,54,47
76,1,26,54,54
77,0,45,54,53
78,1,40,54,48
79,0,23,54,52
80,0,49,54,42
81,1,57,54,51
82,1,38,54,55
83,1,67,54,41
84,0,46,54,44
85,0,21,54,57
86,1,48,54,46
87,0,55,57,58
88,0,22,57,55
89,0,34,58,60
90,0,50,58,46
91,0,68,59,55
92,1,18,59,41
93,1,48,60,49
94,0,40,60,40
95,0,32,60,42
96,1,24,60,52
97,0,47,60,47
98,0,27,60,50
99,1,48,61,42
100,1,20,61,49
101,0,23,62,41
102,0,49,62,48
103,1,67,62,59
104,1,26,62,55
105,1,49,62,56
106,0,21,62,42
107,0,66,63,50
108,1,54,63,46
109,1,68,63,43
110,1,66,63,48
111,1,65,63,52
112,0,19,63,54
113,0,38,64,42
114,1,19,64,46
115,0,18,65,48
116,0,19,65,50
117,0,63,65,43
118,0,49,65,59
119,0,51,67,43
120,0,50,67,57
121,1,27,67,56
122,0,38,67,40
123,0,40,69,58
124,1,39,69,91
125,0,23,70,29
126,0,31,70,77
127,1,43,71,35
128,1,40,71,95
129,1,59,71,11
130,1,38,71,75
131,1,47,71,9
132,1,39,71,75
133,0,25,72,34
134,0,31,72,71
135,1,20,73,5
136,0,29,73,88
137,0,44,73,7
138,1,32,73,73
139,1,19,74,10
140,0,35,74,72
141,0,57,75,5
142,1,32,75,93
143,0,28,76,40
144,0,32,76,87
145,1,25,77,12
146,1,28,77,97
147,1,48,77,36
148,0,32,77,74
149,0,34,78,22
150,1,34,78,90
151,1,43,78,17
152,1,39,78,88
153,0,44,78,20
154,0,38,78,76
155,0,47,78,16
156,0,27,78,89
157,1,37,78,1
158,0,30,78,78
159,1,34,78,1
160,0,30,78,73
161,0,56,79,35
162,0,29,79,83
163,1,19,81,5
164,0,31,81,93
165,1,50,85,26
166,0,36,85,75
167,1,42,86,20
168,0,33,86,95
169,0,36,87,27
170,1,32,87,63
171,1,40,87,13
172,1,28,87,75
173,1,36,87,10
174,1,36,87,92
175,0,52,88,13
176,0,30,88,86
177,1,58,88,15
178,1,27,88,69
179,1,59,93,14
180,1,35,93,90
181,0,37,97,32
182,0,32,97,86
183,1,46,98,15
184,0,29,98,88
185,0,41,99,39
186,1,30,99,97
187,0,54,101,24
188,1,28,101,68
189,0,41,103,17
190,0,36,103,85
191,0,34,103,23
192,0,32,103,69
193,1,33,113,8
194,0,38,113,91
195,0,47,120,16
196,0,35,120,79
197,0,45,126,28
198,1,32,126,74
199,1,32,137,18
200,1,30,137,83
