"Class","date","plant.stand","precip","temp","hail","crop.hist","area.dam","sever","seed.tmt","germ","plant.growth","leaves","leaf.halo","leaf.marg","leaf.size","leaf.shread","leaf.malf","leaf.mild","stem","lodging","stem.cankers","canker.lesion","fruiting.bodies","ext.decay","mycelium","int.discolor","sclerotia","fruit.pods","fruit.spots","seed","mold.growth","seed.discolor","seed.size","shriveling","roots"
"diaporthe-stem-canker","6","0","2","1","0","1","1","1","0","0","1","1","0","2","2","0","0","0","1","1","3","1","1","1","0","0","0","0","4","0","0","0","0","0","0"
"diaporthe-stem-canker","4","0","2","1","0","2","0","2","1","1","1","1","0","2","2","0","0","0","1","0","3","1","1","1","0","0","0","0","4","0","0","0","0","0","0"
"diaporthe-stem-canker","3","0","2","1","0","1","0","2","1","2","1","1","0","2","2","0","0","0","1","0","3","0","1","1","0","0","0","0","4","0","0","0","0","0","0"
"diaporthe-stem-canker","3","0","2","1","0","1","0","2","0","1","1","1","0","2","2","0","0","0","1","0","3","0","1","1","0","0","0","0","4","0","0","0","0","0","0"
"diaporthe-stem-canker","6","0","2","1","0","2","0","1","0","2","1","1","0","2","2","0","0","0","1","0","3","1","1","1","0","0","0","0","4","0","0","0","0","0","0"
"diaporthe-stem-canker","5","0","2","1","0","3","0","1","0","1","1","1","0","2","2","0","0","0","1","0","3","0","1","1","0","0","0","0","4","0","0","0","0","0","0"
"diaporthe-stem-canker","5","0","2","1","0","2","0","1","1","0","1","1","0","2","2","0","0","0","1","1","3","1","1","1","0","0","0","0","4","0","0","0","0","0","0"
"diaporthe-stem-canker","4","0","2","1","1","1","0","1","0","2","1","1","0","2","2","0","0","0","1","0","3","1","1","1","0","0","0","0","4","0","0","0","0","0","0"
"diaporthe-stem-canker","6","0","2","1","0","3","0","1","1","1","1","1","0","2","2","0","0","0","1","0","3","1","1","1","0","0","0","0","4","0","0","0","0","0","0"
"diaporthe-stem-canker","4","0","2","1","0","2","0","2","0","2","1","1","0","2","2","0","0","0","1","0","3","1","1","1","0","0","0","0","4","0","0","0","0","0","0"
"charcoal-rot","6","0","0","2","0","1","3","1","1","0","1","1","0","2","2","0","0","0","1","0","0","3","0","0","0","2","1","0","4","0","0","0","0","0","0"
"charcoal-rot","4","0","0","1","1","1","3","1","1","1","1","1","0","2","2","0","0","0","1","1","0","3","0","0","0","2","1","0","4","0","0","0","0","0","0"
"charcoal-rot","3","0","0","1","0","1","2","1","0","0","1","1","0","2","2","0","0","0","1","0","0","3","0","0","0","2","1","0","4","0","0","0","0","0","0"
"charcoal-rot","6","0","0","1","1","3","3","1","1","0","1","1","0","2","2","0","0","0","1","0","0","3","0","0","0","2","1","0","4","0","0","0","0","0","0"
"charcoal-rot","6","0","0","2","0","1","3","1","1","1","1","1","0","2","2","0","0","0","1","0","0","3","0","0","0","2","1","0","4","0","0","0","0","0","0"
"charcoal-rot","5","0","0","2","1","3","3","1","1","2","1","1","0","2","2","0","0","0","1","0","0","3","0","0","0","2","1","0","4","0","0","0","0","0","0"
"charcoal-rot","6","0","0","2","1","0","2","1","0","0","1","1","0","2","2","0","0","0","1","1","0","3","0","0","0","2","1","0","4","0","0","0","0","0","0"
"charcoal-rot","4","0","0","1","0","2","2","1","0","1","1","1","0","2","2","0","0","0","1","0","0","3","0","0","0","2","1","0","4","0","0","0","0","0","0"
"charcoal-rot","3","0","0","2","0","2","2","1","0","2","1","1","0","2","2","0","0","0","1","0","0","3","0","0","0","2","1","0","4","0","0","0","0","0","0"
"charcoal-rot","5","0","0","2","1","2","2","1","0","2","1","1","0","2","2","0","0","0","1","0","0","3","0","0","0","2","1","0","4","0","0","0","0","0","0"
"rhizoctonia-root-rot","1","1","2","0","0","2","1","2","0","2","1","0","0","2","2","0","0","0","1","0","1","1","0","1","1","0","0","3","4","0","0","0","0","0","0"
"rhizoctonia-root-rot","1","1","2","0","0","1","1","2","0","1","1","0","0","2","2","0","0","0","1","0","1","1","0","1","0","0","0","3","4","0","0","0","0","0","0"
"rhizoctonia-root-rot","3","0","2","0","1","3","1","2","0","1","1","0","0","2","2","0","0","0","1","1","1","1","0","1","1","0","0","3","4","0","0","0","0","0","0"
"rhizoctonia-root-rot","0","1","2","0","0","0","1","1","1","2","1","0","0","2","2","0","0","0","1","0","1","1","0","1","0","0","0","3","4","0","0","0","0","0","0"
"rhizoctonia-root-rot","0","1","2","0","0","1","1","2","1","2","1","0","0","2","2","0","0","0","1","0","1","1","0","1","0","0","0","3","4","0","0","0","0","0","0"
