"Murder","Assault","UrbanPop","Rape","State"
13.2,236,58,21.2,"Alabama"
10,263,48,44.5,"Alaska"
8.1,294,80,31,"Arizona"
8.8,190,50,19.5,"Arkansas"
9,276,91,40.6,"California"
7.9,204,78,38.7,"Colorado"
3.3,110,77,11.1,"Connecticut"
5.9,238,72,15.8,"Delaware"
15.4,335,80,31.9,"Florida"
17.4,211,60,25.8,"Georgia"
5.3,46,83,20.2,"Hawaii"
2.6,120,54,14.2,"Idaho"
10.4,249,83,24,"Illinois"
7.2,113,65,21,"Indiana"
2.2,56,57,11.3,"Iowa"
6,115,66,18,"Kansas"
9.7,109,52,16.3,"Kentucky"
15.4,249,66,22.2,"Louisiana"
2.1,83,51,7.8,"Maine"
11.3,300,67,27.8,"Maryland"
4.4,149,85,16.3,"Massachusetts"
12.1,255,74,35.1,"Michigan"
2.7,72,66,14.9,"Minnesota"
16.1,259,44,17.1,"Mississippi"
9,178,70,28.2,"Missouri"
6,109,53,16.4,"Montana"
4.3,102,62,16.5,"Nebraska"
12.2,252,81,46,"Nevada"
2.1,57,56,9.5,"New Hampshire"
7.4,159,89,18.8,"New Jersey"
11.4,285,70,32.1,"New Mexico"
11.1,254,86,26.1,"New York"
13,337,45,16.1,"North Carolina"
0.8,45,44,7.3,"North Dakota"
7.3,120,75,21.4,"Ohio"
6.6,151,68,20,"Oklahoma"
4.9,159,67,29.3,"Oregon"
6.3,106,72,14.9,"Pennsylvania"
3.4,174,87,8.3,"Rhode Island"
14.4,279,48,22.5,"South Carolina"
3.8,86,45,12.8,"South Dakota"
13.2,188,59,26.9,"Tennessee"
12.7,201,80,25.5,"Texas"
3.2,120,80,22.9,"Utah"
2.2,48,32,11.2,"Vermont"
8.5,156,63,20.7,"Virginia"
4,145,73,26.2,"Washington"
5.7,81,39,9.3,"West Virginia"
2.6,53,66,10.8,"Wisconsin"
6.8,161,60,15.6,"Wyoming"
