"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","Class"
"0",-3.639,-0.67,1.779,-0.168,1.627,-0.388,0.529,-0.874,-0.814,"hid"
"0",-3.327,-0.694,1.365,-0.265,1.933,-0.363,0.51,-0.621,-0.488,"hId"
"0",-2.12,-1.576,0.147,-0.707,1.559,-0.579,0.676,-0.809,-0.049,"hEd"
"0",-2.287,-1.498,1.012,-1.053,1.06,-0.567,0.235,-0.091,-0.795,"hAd"
"0",-2.598,-0.846,1.062,-1.633,0.764,0.394,-0.15,0.277,-0.396,"hYd"
"0",-2.852,-0.755,0.825,-1.588,0.855,0.217,-0.246,0.238,-0.365,"had"
"0",-3.482,-0.433,1.048,-1.995,0.902,0.322,0.45,0.377,-0.366,"hOd"
"0",-3.941,0.124,1.771,-1.815,0.593,-0.435,0.992,0.575,-0.301,"hod"
"0",-3.86,-0.939,0.688,-0.675,1.679,-0.512,0.928,-0.167,-0.434,"hUd"
"0",-3.648,-1.378,1.578,0.065,1.577,-0.466,0.702,0.06,-0.836,"hud"
"0",-3.032,-1.141,0.737,-0.834,1.386,-0.575,0.679,-0.018,-0.823,"hed"
"0",-3.653,-0.6,1.705,-0.222,1.765,-0.353,0.537,-0.797,-0.813,"hid"
"0",-3.237,-0.86,1.363,-0.251,1.915,-0.395,0.751,-0.774,-0.327,"hId"
"0",-2.135,-1.632,0.121,-0.704,1.6,-0.628,0.713,-0.903,-0.027,"hEd"
"0",-2.304,-1.506,0.981,-0.961,0.806,-0.294,-0.002,0.119,-0.76,"hAd"
"0",-2.54,-1.024,0.933,-1.567,1.024,0.188,-0.047,0.309,-0.633,"hYd"
"0",-2.826,-0.738,0.801,-1.669,0.939,0.245,-0.257,0.256,-0.458,"had"
"0",-3.582,-0.358,1.162,-1.953,0.621,0.339,0.355,0.415,-0.259,"hOd"
"0",-3.951,0.127,1.772,-1.906,0.567,-0.432,1.045,0.598,-0.293,"hod"
"0",-3.783,-1.2,0.606,-0.65,1.504,-0.134,0.528,0.392,-0.58,"hUd"
"0",-3.673,-1.405,1.621,0.044,1.572,-0.453,0.745,-0.066,-0.733,"hud"
"0",-2.946,-1.167,0.788,-0.909,1.3,-0.562,0.902,-0.07,-0.842,"hed"
"0",-3.665,-0.641,1.791,-0.194,1.686,-0.359,0.57,-0.676,-0.841,"hid"
"0",-3.165,-0.971,1.207,-0.298,1.921,-0.215,0.723,-0.492,-0.425,"hId"
"0",-2.105,-1.705,0.231,-0.558,1.554,-0.649,0.71,-0.855,-0.151,"hEd"
"0",-2.312,-1.51,1.019,-0.99,0.941,-0.488,0.208,0.033,-0.847,"hAd"
"0",-2.635,-1.129,0.911,-1.407,1.095,-0.071,0.118,0.139,-0.685,"hYd"
"0",-2.887,-0.83,0.682,-1.557,0.818,0.448,-0.382,0.207,-0.402,"had"
"0",-3.635,-0.394,1.012,-1.693,0.117,0.665,0.281,0.343,-0.003,"hOd"
"0",-3.986,0.102,1.633,-2.014,0.576,-0.344,1.003,0.566,-0.245,"hod"
"0",-3.712,-1.171,0.647,-0.767,1.698,-0.347,0.92,0.159,-0.359,"hUd"
"0",-3.74,-1.384,1.587,0.049,1.642,-0.516,0.707,-0.169,-0.522,"hud"
