month,cafes_restaurants_and_catering_services,cafes_restaurants_and_takeaway_food_services,clothing_retailing,clothing_footwear_and_personal_accessory_retailing,department_stores,electrical_and_electronic_goods_retailing,food_retailing,footwear_and_other_personal_accessory_retailing,furniture_floor_coverings_houseware_and_textile_goods_retailing,hardware_building_and_garden_supplies_retailing,household_goods_retailing,liquor_retailing,newspaper_and_book_retailing,other_recreational_goods_retailing,other_retailing,other_retailing_n.e.c.,other_specialised_food_retailing,pharmaceutical_cosmetic_and_toiletry_goods_retailing,supermarket_and_grocery_stores,takeaway_food_services
01-04-1982,4.4,7.6,3.7,5.9,10.3,4.4,15.5,2.2,2.7,2.6,9.7,1.2,2.3,1.1,8.1,2.2,1.6,2.5,12.7,3.2
01-05-1982,3.4,6.7,3.8,5.9,10.6,4.9,15.1,2.1,3,3.3,11.1,1.4,2.5,1,8,2,1.6,2.5,12.1,3.3
01-06-1982,3.6,7.1,3.2,5.1,9.9,4.8,15.5,2,2.5,2.7,9.9,1.3,2.3,1,7.8,2,1.7,2.5,12.5,3.5
01-07-1982,4,7.5,3.4,5.4,8.8,5.1,16.1,2.1,2.8,2.4,10.2,1.4,2.6,1.1,8.3,2,1.6,2.6,13.2,3.5
01-08-1982,3.6,7.3,3.1,5,8.8,4.6,15.8,2,2.8,2.7,10.1,1.6,2.6,0.9,8.4,2,1.6,2.8,12.7,3.7
01-09-1982,4.2,8.1,3.4,5.6,9.2,4.3,16,2.2,2.6,3.1,10,1.4,2.6,1,8.6,2.2,1.8,2.8,12.9,3.9
01-10-1982,4.8,8.9,3.4,5.8,9.7,4.7,16.6,2.3,3.7,3.5,11.9,1.5,2.7,1.2,9,2.5,1.7,2.6,13.5,4
01-11-1982,5.4,9.6,3.6,6.2,11.3,5.1,17.2,2.6,3.9,4.6,13.6,1.5,3,1.3,10.3,2.9,1.7,3.1,14.1,4.3
01-12-1982,6.9,11.2,4.7,8.2,18.5,8,20,3.5,4.2,7.4,19.7,1.6,4.9,1.8,14.6,4.1,1.9,3.9,16.5,4.3
01-01-1983,3.8,7.7,2.7,4.6,7.4,4.3,14.6,1.9,3,3.3,10.6,1,2.5,1,8.1,2.1,1.6,2.5,12,3.9
01-02-1983,4.2,8.2,2.7,4.6,8,4.4,15.5,1.9,3.3,2.6,10.3,1.1,3,1,8.6,2.1,1.6,2.5,12.8,3.9
01-03-1983,4,8.5,3.8,6.3,10.6,5.3,16.7,2.5,3.6,3.1,12,1.1,3.1,1.1,9.1,2.2,1.8,2.6,13.8,4.4
01-04-1983,4.4,8.2,4.7,7.4,11.7,4,17.2,2.7,3.4,3.1,10.6,1.3,2.6,1.1,8.2,2.3,1.7,2.2,14.3,3.7
01-05-1983,4.3,9.3,4.6,7.3,11.5,4.8,17.3,2.8,3.7,3.1,11.6,1.4,2.8,1.1,8.5,2.3,1.8,2.3,14.1,5
01-06-1983,4.3,9.9,3.9,6.2,10.1,4.3,17.6,2.3,3.4,2.6,10.3,1.4,2.8,1,8.2,2.1,2,2.2,14.2,5.6
01-07-1983,4.6,10.8,4,6.5,10.4,4.2,17.2,2.5,3.8,2.8,10.8,1.5,3,1.1,8.7,2.3,2.1,2.3,13.6,6.3
01-08-1983,4.9,9.4,3.6,6,10,4.1,17.1,2.4,3.8,2.8,10.7,1.5,3.2,1.1,9.2,2.4,1.8,2.5,13.8,4.5
01-09-1983,4.5,10.9,3.6,6.1,10.3,4,17.1,2.5,3.8,3.1,10.9,1.5,3.2,1,8.9,2.4,2.1,2.3,13.5,6.4
01-10-1983,5.5,12.8,3.4,5.9,11.2,5,20.5,2.5,3.4,3.3,11.7,1.5,3.1,1.3,9.4,2.7,2.4,2.3,16.6,7.2
01-11-1983,6.7,13.8,3.7,6.5,12.6,5.5,21.1,2.8,4,3.6,13.1,1.5,3.3,1.5,10.8,3.2,2.4,2.8,17.3,7.1
01-12-1983,9.6,17.2,5,9,22.2,7,26.1,4,4.4,6.8,18.2,1.9,4.9,2,15.1,4.7,2.4,3.5,21.8,7.6
01-01-1984,3.8,10.2,3.4,5.5,7.9,3.9,17.3,2.1,3.5,3.2,10.6,1.4,2.8,0.9,7.9,2.1,1.9,2.1,13.9,6.4
01-02-1984,3.8,10.3,3.3,5.3,9.1,5.2,19.7,2,3.5,2.7,11.4,1.5,2.9,1,7.9,2.1,2,2,16.3,6.5
01-03-1984,4.4,11.2,4.4,6.9,10.9,5.8,19.9,2.5,4.2,2.7,12.7,1.5,3.1,1.2,8.8,2.3,2.1,2.2,16.4,6.9
01-04-1984,3.8,9.7,4.4,6.8,12.9,6.2,19.7,2.4,3.5,2.3,12,1.5,2.9,1.1,8,2.1,1.8,2,16.4,5.9
01-05-1984,3.9,10,4.8,7.4,13.8,8,19.5,2.6,3.8,2.7,14.5,1.6,3.1,1.3,8.7,2.2,2.2,2.1,15.8,6.1
01-06-1984,4.1,10.1,4.2,6.7,10.6,6.7,20.4,2.5,3.8,2.5,13.1,1.6,2.8,1.2,8.4,2.2,2.2,2.1,16.7,6
01-07-1984,4.3,10,4.5,7.1,11.9,5.7,19.8,2.5,4.1,3.4,13.2,1.5,2.9,1.1,8.5,2.3,2.1,2.2,16.2,5.8
01-08-1984,4.8,11.3,4.2,6.9,11.3,5.2,20.6,2.7,3.9,3.5,12.5,1.7,3,1.2,9.1,2.5,2.3,2.3,16.7,6.4
01-09-1984,5,11.1,3.3,5.7,11.5,4.3,19.5,2.5,4.5,3.8,12.6,1.6,3,1.1,9.1,2.6,2.3,2.3,15.6,6.1
01-10-1984,5.3,11,4.6,7.5,12.6,5.1,21.3,2.9,5.3,4.2,14.6,1.9,2.7,1.2,9.3,2.7,2.2,2.6,17.2,5.7
01-11-1984,5.6,11.4,4.8,7.8,13.6,5.5,21.4,3,5.5,4.9,16,1.9,3.2,1.4,10.5,3,2.2,3,17.3,5.8
01-12-1984,6.8,12.6,5.6,9.3,23.3,6.4,21.5,3.6,4.8,8.7,19.9,2.2,4,1.6,12.8,4.1,2.3,3.1,17,5.8
01-01-1985,4.6,9.7,3.3,5.7,10.6,5.7,20.3,2.3,4,4.2,13.8,1.6,2.4,1.2,8.7,2.5,2,2.7,16.6,5.1
01-02-1985,4.3,9,3.3,5.5,10,5.4,19.6,2.1,3.9,3.8,13.1,1.5,2.4,1.1,8.4,2.4,1.9,2.6,16.2,4.7
01-03-1985,4.3,8.9,4.1,6.5,11.5,6.5,21.3,2.4,4.3,3.4,14.2,1.8,2.8,1.2,8.9,2.4,2,2.6,17.4,4.6
01-04-1985,6,10.6,4.9,7.9,14,6.1,22.3,3,4.5,3.5,14.1,1.6,2.3,1.5,9.6,2.9,2,3,18.6,4.5
01-05-1985,5.8,10.1,5.6,8.8,15.7,7.6,23.1,3.2,5.1,4.2,16.9,1.9,2.7,1.6,10.5,3.1,2,3.2,19.2,4.3
01-06-1985,5.9,10,4.9,7.9,12.2,6.4,21.9,2.9,4.6,3.5,14.5,1.6,2.4,1.4,9.8,2.8,1.9,3.2,18.4,4.1
01-07-1985,6.4,11.9,5.2,8.2,13.7,7.5,24.4,3,4.8,3.9,16.1,1.6,2.6,1.6,11.1,3.2,2.2,3.7,20.6,5.5
01-08-1985,7,12.9,4.5,7.4,12.5,6.4,23.1,2.9,5,4.3,15.7,1.6,2.6,1.6,11.2,3.3,2.2,3.7,19.2,5.9
01-09-1985,6.7,12.4,4.4,7.3,12.2,6.4,23.2,2.8,5.1,4.3,15.8,1.5,2.7,1.6,11,3.2,2.2,3.5,19.5,5.7
01-10-1985,6.7,12,4.6,7.5,14.3,6.7,24.2,2.9,4.9,4.3,15.9,1.8,2.7,1.5,11,3.3,2.1,3.5,20.2,5.2
01-11-1985,6.8,12.2,4.6,7.6,15.3,6.6,24.5,3,5.4,5.7,17.7,1.9,2.8,1.6,11.5,3.6,2.1,3.5,20.4,5.4
01-12-1985,7.6,12.9,5.3,8.9,25.8,9.1,25.2,3.6,5.8,11.5,26.5,2.4,3.4,2,14.2,4.8,2.1,4,20.6,5.3
01-01-1986,7.9,13.1,4.4,7.5,13.4,5.2,23.6,3,4,4,13.1,1.8,2.6,1.6,10.9,3.5,2.1,3.2,19.6,5.2
01-02-1986,6.1,10.8,3.8,6.2,9.8,5.7,21.2,2.5,4.4,3.9,13.9,1.6,2.8,1.3,10.1,2.9,2,3,17.5,4.6
