"date","value"
1958-03-01,315.71
1958-04-01,317.45
1958-05-01,317.5
1958-06-01,317.1
1958-07-01,315.86
1958-08-01,314.93
1958-09-01,313.2
1958-10-01,312.66
1958-11-01,313.33
1958-12-01,314.67
1959-01-01,315.62
1959-02-01,316.38
1959-03-01,316.71
1959-04-01,317.72
1959-05-01,318.29
1959-06-01,318.15
1959-07-01,316.54
1959-08-01,314.8
1959-09-01,313.84
1959-10-01,313.26
1959-11-01,314.8
1959-12-01,315.58
1960-01-01,316.43
1960-02-01,316.97
1960-03-01,317.58
1960-04-01,319.02
1960-05-01,320.03
1960-06-01,319.59
1960-07-01,318.18
1960-08-01,315.91
1960-09-01,314.16
1960-10-01,313.83
1960-11-01,315
1960-12-01,316.19
1961-01-01,316.93
1961-02-01,317.7
1961-03-01,318.54
1961-04-01,319.48
1961-05-01,320.58
1961-06-01,319.77
1961-07-01,318.57
1961-08-01,316.79
1961-09-01,314.8
1961-10-01,315.38
1961-11-01,316.1
1961-12-01,317.01
1962-01-01,317.94
1962-02-01,318.56
1962-03-01,319.68
1962-04-01,320.63
1962-05-01,321.01
1962-06-01,320.55
1962-07-01,319.58
1962-08-01,317.4
1962-09-01,316.26
1962-10-01,315.42
1962-11-01,316.69
1962-12-01,317.69
1963-01-01,318.74
1963-02-01,319.08
1963-03-01,319.86
1963-04-01,321.39
1963-05-01,322.25
1963-06-01,321.47
1963-07-01,319.74
1963-08-01,317.77
1963-09-01,316.21
1963-10-01,315.99
1963-11-01,317.12
1963-12-01,318.31
1964-01-01,319.57
1964-02-01,320.07
1964-03-01,320.73
1964-04-01,321.77
1964-05-01,322.25
1964-06-01,321.89
1964-07-01,320.44
1964-08-01,318.7
1964-09-01,316.7
1964-10-01,316.79
1964-11-01,317.79
1964-12-01,318.71
1965-01-01,319.44
1965-02-01,320.44
1965-03-01,320.89
1965-04-01,322.13
1965-05-01,322.16
1965-06-01,321.87
1965-07-01,321.39
1965-08-01,318.81
1965-09-01,317.81
