"date","value"
2001-08-01,65.58
2001-09-01,66.48
2001-10-01,65.7
2001-11-01,64.33
2001-12-01,63.23
2002-01-01,62.94
2002-02-01,62.92
2002-03-01,62.73
2002-04-01,62.5
2002-05-01,63.35
2002-06-01,63.8
2002-07-01,64.21
2002-08-01,64.11
2002-09-01,64.04
2002-10-01,63
2002-11-01,61.9
2002-12-01,61.49
2003-01-01,62.27
2003-02-01,63.13
2003-03-01,63.86
2003-04-01,63.53
2003-05-01,64.6
2003-06-01,65.99
2003-07-01,67.5
2003-08-01,68.5
2003-09-01,69.23
2003-10-01,68.57
2003-11-01,68.36
2003-12-01,68.98
2004-01-01,69.58
2004-02-01,71.59
2004-03-01,73.09
2004-04-01,74.75
2004-05-01,76.59
2004-06-01,79.63
2004-07-01,80.94
2004-08-01,80.1
2004-09-01,78.16
2004-10-01,76
2004-11-01,74.71
2004-12-01,73.6
2005-01-01,73.44
2005-02-01,73.75
2005-03-01,73.88
2005-04-01,74
2005-05-01,74.29
2005-06-01,74.48
2005-07-01,74.75
2005-08-01,74.77
2005-09-01,75.19
2005-10-01,74.38
2005-11-01,72.69
2005-12-01,71.21
2006-01-01,69.86
2006-02-01,69.18
2006-03-01,68.29
2006-04-01,67.52
2006-05-01,67.87
2006-06-01,68.98
2006-07-01,69.9
2006-08-01,70.42
2006-09-01,70.69
2006-10-01,69.65
2006-11-01,69
2006-12-01,69.35
2007-01-01,71.33
2007-02-01,73.77
2007-03-01,76.37
2007-04-01,78.1
2007-05-01,79.52
2007-06-01,80.75
2007-07-01,81.17
2007-08-01,81.27
2007-09-01,81.55
2007-10-01,79.75
2007-11-01,77.77
2007-12-01,76.85
2008-01-01,77.25
2008-02-01,79.15
2008-03-01,81.23
2008-04-01,82.04
2008-05-01,83.46
2008-06-01,85.71
2008-07-01,88.25
2008-08-01,88.42
2008-09-01,88.4
2008-10-01,87.54
2008-11-01,86.93
2008-12-01,87.02
2009-01-01,87.25
2009-02-01,86.7
2009-03-01,85.73
2009-04-01,85.38
2009-05-01,86.96
2009-06-01,88.17
2009-07-01,88.56
2009-08-01,86.77
2009-09-01,84.88
2009-10-01,82.85
2009-11-01,82.13
2009-12-01,82.15
2010-01-01,83.04
2010-02-01,83.3
2010-03-01,84
2010-04-01,85.28
2010-05-01,86.45
2010-06-01,87.17
2010-07-01,87.84
2010-08-01,87.79
2010-09-01,87.75
2010-10-01,86.73
2010-11-01,85.46
2010-12-01,85.35
2011-01-01,85
2011-02-01,85.07
2011-03-01,86.08
2011-04-01,86.4
2011-05-01,86.54
2011-06-01,86.94
2011-07-01,87.34
2011-08-01,88.13
2011-09-01,88.98
2011-10-01,89
2011-11-01,89.23
2011-12-01,89.82
2012-01-01,90.35
2012-02-01,91.17
2012-03-01,92.79
2012-04-01,93.25
2012-05-01,94.06
2012-06-01,94.5
2012-07-01,94.73
2012-08-01,95.02
2012-09-01,95.65
2012-10-01,95.84
2012-11-01,96.64
2012-12-01,97.65
2013-01-01,99.12
2013-02-01,100.17
2013-03-01,101.46
2013-04-01,102.56
2013-05-01,104.1
2013-06-01,105.54
2013-07-01,106.41
2013-08-01,106.5
2013-09-01,106.19
2013-10-01,105.07
2013-11-01,104.69
2013-12-01,104.25
2014-01-01,104.4
2014-02-01,104.5
2014-03-01,105.25
2014-04-01,107.27
2014-05-01,108.79
2014-06-01,110.88
2014-07-01,112.6
2014-08-01,112.79
2014-09-01,113.52
2014-10-01,113.89
2014-11-01,113.93
2014-12-01,113.77
2015-01-01,114.1
2015-02-01,113.77
2015-03-01,114.27
2015-04-01,114.88
2015-05-01,115.96
2015-06-01,116
2015-07-01,115.9
2015-08-01,115.46
2015-09-01,115
2015-10-01,114.27
2015-11-01,113.36
2015-12-01,113.06
2016-01-01,112.52
2016-02-01,112.1
2016-03-01,111.56
2016-04-01,111.55
2016-05-01,111.98
2016-06-01,111.84
2016-07-01,111.46
