"date","value"
2000-01-01,7204
2000-02-01,7335
2000-03-01,7812
2000-04-01,7413
2000-05-01,9136
2000-06-01,8725
2000-07-01,8751
2000-08-01,9609
2000-09-01,8601
2000-10-01,8930
2000-11-01,8835
2000-12-01,11688
2001-01-01,8078
2001-02-01,7892
2001-03-01,8151
2001-04-01,8738
2001-05-01,9416
2001-06-01,9533
2001-07-01,9943
2001-08-01,10859
2001-09-01,8789
2001-10-01,9960
2001-11-01,9619
2001-12-01,12900
2002-01-01,8620
2002-02-01,8401
2002-03-01,8546
2002-04-01,10004
2002-05-01,10675
2002-06-01,10115
2002-07-01,11206
2002-08-01,11555
2002-09-01,10453
2002-10-01,10421
2002-11-01,9950
2002-12-01,13975
2003-01-01,9315
2003-02-01,9366
2003-03-01,9910
2003-04-01,10302
2003-05-01,11371
2003-06-01,11857
2003-07-01,12387
2003-08-01,12421
2003-09-01,12073
2003-10-01,11963
2003-11-01,10666
2003-12-01,15613
2004-01-01,10586
2004-02-01,10558
2004-03-01,12064
2004-04-01,11899
2004-05-01,12077
2004-06-01,13918
2004-07-01,13611
2004-08-01,14132
2004-09-01,13509
2004-10-01,13152
2004-11-01,13993
2004-12-01,18203
2005-01-01,14262
2005-02-01,13024
2005-03-01,14062
2005-04-01,14718
2005-05-01,16544
2005-06-01,16732
2005-07-01,16230
2005-08-01,18126
2005-09-01,16016
2005-10-01,15601
2005-11-01,15394
2005-12-01,20439
2006-01-01,14991
2006-02-01,14908
2006-03-01,17459
2006-04-01,14501
2006-05-01,18271
2006-06-01,17963
2006-07-01,17026
2006-08-01,18111
2006-09-01,15989
2006-10-01,16735
2006-11-01,15949
2006-12-01,20216
2007-01-01,16198
2007-02-01,15060
2007-03-01,16168
2007-04-01,16376
2007-05-01,18403
2007-06-01,19113
2007-07-01,19303
2007-08-01,20560
2007-09-01,16621
2007-10-01,18788
2007-11-01,17970
2007-12-01,22464
2008-01-01,16658
2008-02-01,16214
2008-03-01,16043
2008-04-01,16418
2008-05-01,17644
2008-06-01,17705
2008-07-01,18107
2008-08-01,17975
2008-09-01,17598
2008-10-01,17658
2008-11-01,15750
2008-12-01,22414
2009-01-01,16065
2009-02-01,15467
2009-03-01,16297
2009-04-01,16530
2009-05-01,18410
2009-06-01,20274
2009-07-01,21311
2009-08-01,20991
2009-09-01,18305
2009-10-01,17832
2009-11-01,18223
2009-12-01,23987
2010-01-01,15964
2010-02-01,16606
2010-03-01,19216
2010-04-01,16419
2010-05-01,19638
2010-06-01,19773
2010-07-01,21052
2010-08-01,22011
2010-09-01,19039
2010-10-01,17893
2010-11-01,19276
2010-12-01,25167
2011-01-01,16699
2011-02-01,16619
2011-03-01,17851
2011-04-01,18160
2011-05-01,22032
2011-06-01,21395
2011-07-01,22217
2011-08-01,24565
2011-09-01,21095
2011-10-01,20114
2011-11-01,19931
2011-12-01,26120
2012-01-01,18580
2012-02-01,18492
2012-03-01,19724
2012-04-01,20123
2012-05-01,22582
2012-06-01,22595
2012-07-01,23379
2012-08-01,24920
2012-09-01,20325
2012-10-01,22038
2012-11-01,20988
2012-12-01,26675
