"Country","Annual.GDP.Growth","Date","Last_inflation","Operating.Region","Scope","gdp_cat"
"Albania",2.31,"2019-06-19",1.3,"Europe","Include","Medium"
"Algeria",1.5,"2019-03-19",1.8,"Africa","Include","Low"
"Angola",-0.1,"2019-06-19",16.08,"Africa","Include","Low"
"Argentina",0.6,"2019-06-19",53.5,"America","Include","Low"
"Armenia",6.5,"2019-06-19",0.5,"Asia","Include","High"
"Australia",1.4,"2019-06-19",1.7,"Australia","Include","Low"
"Austria",1.5,"2019-09-19",1.2,"Europe","Include","Low"
"Azerbaijan",2.4,"2019-06-19",2.6,"Asia","Include","Medium"
"Bahamas",1.6,"2019-12-18",2.9,"America","Include","Low"
"Bahrain",0.84,"2019-06-19",1.2,"Asia","Include","Low"
"Bangladesh",7.9,"2019-12-18",5.54,"Asia","Include","High"
"Barbados",-0.6,"2019-12-18",3.2,"America","Include","Low"
"Belgium",1.6,"2019-09-19",0.48,"Europe","Include","Low"
"Belize",-0.8,"2019-06-19",-0.7,"America","Include","Low"
"Benin",7.2,"2019-06-19",-1.7,"Africa","Include","High"
"Bhutan",4.6,"2019-12-18",3.9,"Asia","Include","Medium"
"Bolivia",3.27,"2019-12-18",2.25,"America","Include","Medium"
"Bosnia and Herzegovina",2.6,"2019-06-19",0.3,"Europe","Include","Medium"
"Botswana",3.1,"2019-06-19",3,"Africa","Include","Medium"
"Brazil",1,"2019-06-19",2.89,"America","Include","Low"
"Brunei",6.7,"2019-06-19",-0.8,"Asia","Include","High"
"Bulgaria",3.5,"2019-06-19",2.3,"Europe","Include","Medium"
"Burkina Faso",6.1,"2019-06-19",-5.4,"Africa","Include","High"
"Burundi",3.8,"2019-12-18",2,"Africa","Include","Medium"
"Cambodia",7.5,"2019-12-18",2.17,"Asia","Include","High"
"Cameroon",4.2,"2019-03-19",2.6,"Africa","Exclude","Medium"
"Canada",1.6,"2019-06-19",1.9,"America","Include","Low"
"Cape Verde",6.2,"2019-06-19",0.7,"Africa","Include","High"
"Central African Republic",4.3,"2019-12-18",3,"Africa","Include","Medium"
"Chad",1.5,"2019-12-18",-2.1,"Africa","Include","Low"
"Chile",1.9,"2019-06-19",2.1,"America","Include","Low"
"China",6,"2019-09-19",3,"Asia","Include","High"
"Colombia",3,"2019-06-19",3.82,"America","Include","Medium"
"Comoros",2.8,"2019-12-18",1.7,"Africa","Include","Medium"
"Congo",5.82,"2019-12-18",3.8,"Africa","Include","High"
"Costa Rica",1.4,"2019-06-19",2.53,"America","Include","Low"
"Croatia",2.4,"2019-06-19",0.8,"Europe","Include","Medium"
"Cuba",2.2,"2019-12-18",5.9,"America","Include","Medium"
"Cyprus",3.2,"2019-06-19",-0.9,"Europe","Include","Medium"
"Czech Republic",2.7,"2019-06-19",2.7,"Europe","Include","Medium"
"Denmark",2.6,"2019-06-19",0.5,"Europe","Include","Medium"
"Dominican Republic",3.7,"2019-06-19",2.02,"America","Include","Medium"
"Ecuador",0.3,"2019-06-19",-0.07,"America","Include","Low"
