carat,depth,table,clarity,cut
0.73,64.6,60.0,4.0,Fair
0.73,66.9,54.0,0.0,Fair
0.5,66.5,58.0,4.0,Fair
0.7,64.5,57.0,4.0,Fair
1.01,65.3,59.0,2.0,Fair
0.7,64.9,59.0,0.0,Fair
0.7,64.3,62.0,0.0,Fair
1.0,64.8,59.0,2.0,Fair
0.58,65.8,56.0,0.0,Fair
0.9,64.6,58.0,4.0,Fair
1.01,64.5,59.0,4.0,Fair
0.7,67.6,54.0,6.0,Fair
1.03,65.3,59.0,3.0,Fair
1.01,66.8,61.0,4.0,Fair
1.19,64.9,58.0,2.0,Fair
2.0,65.7,60.0,2.0,Fair
3.02,65.2,56.0,0.0,Fair
0.7,70.8,56.0,0.0,Fair
0.96,67.3,56.0,2.0,Fair
1.5,65.8,57.0,3.0,Fair
1.0,66.1,59.0,3.0,Fair
0.3,66.6,54.0,7.0,Fair
0.73,64.7,56.0,3.0,Fair
1.01,64.7,54.0,4.0,Fair
0.7,64.5,60.0,3.0,Fair
1.5,64.7,55.0,3.0,Fair
0.51,65.5,51.0,5.0,Fair
2.0,69.8,54.0,0.0,Fair
1.0,67.6,57.0,5.0,Fair
1.52,65.4,62.0,0.0,Fair
1.58,64.7,58.0,2.0,Fair
0.7,66.0,53.0,2.0,Fair
0.98,68.0,63.0,0.0,Fair
1.0,64.8,62.0,5.0,Fair
1.5,69.6,62.0,3.0,Fair
0.5,66.9,57.0,5.0,Fair
1.02,65.3,59.0,3.0,Fair
1.5,64.3,58.0,2.0,Fair
2.0,65.9,60.0,2.0,Fair
1.01,65.3,57.0,2.0,Fair
1.21,64.5,56.0,5.0,Fair
2.0,65.2,56.0,5.0,Fair
3.11,65.9,57.0,0.0,Fair
1.01,68.5,63.0,3.0,Fair
0.85,66.7,59.0,0.0,Fair
0.9,64.4,53.0,5.0,Fair
0.9,65.5,59.0,2.0,Fair
1.0,68.9,56.0,2.0,Fair
0.98,66.6,56.0,3.0,Fair
2.03,64.9,59.0,3.0,Fair
0.71,65.4,59.0,4.0,Fair
1.01,64.4,59.0,2.0,Fair
1.0,64.9,59.0,2.0,Fair
1.01,65.1,57.0,2.0,Fair
0.29,64.7,62.0,5.0,Fair
1.01,65.5,62.0,5.0,Fair
1.08,65.1,54.0,5.0,Fair
0.7,66.5,62.0,0.0,Fair
1.0,64.9,58.0,2.0,Fair
0.7,66.5,55.0,2.0,Fair
1.59,65.2,58.0,3.0,Fair
2.31,67.4,56.0,0.0,Fair
0.51,65.2,55.0,2.0,Fair
0.5,65.2,57.0,3.0,Fair
1.01,65.5,57.0,2.0,Fair
1.05,64.8,55.0,3.0,Fair
2.0,69.1,56.0,3.0,Fair
1.35,66.0,58.0,3.0,Fair
1.52,65.4,58.0,4.0,Fair
1.0,67.8,53.0,3.0,Fair
0.7,65.9,59.0,2.0,Fair
0.5,66.3,55.0,5.0,Fair
0.73,64.4,59.0,7.0,Fair
0.7,65.2,59.0,5.0,Fair
1.03,65.5,58.0,2.0,Fair
2.22,70.1,55.0,0.0,Fair
0.8,67.1,56.0,3.0,Fair
0.74,65.4,53.0,7.0,Fair
2.0,65.1,57.0,3.0,Fair
0.81,65.7,57.0,3.0,Fair
0.96,69.7,59.0,2.0,Fair
1.01,64.4,58.0,5.0,Fair
1.51,65.3,62.0,2.0,Fair
0.9,64.7,59.0,3.0,Fair
1.21,65.0,59.0,2.0,Fair
0.7,67.3,59.0,0.0,Fair
1.22,64.7,61.0,3.0,Fair
1.01,66.0,57.0,2.0,Fair
0.63,65.7,60.0,5.0,Fair
2.01,65.9,57.0,3.0,Fair
1.5,71.3,58.0,0.0,Fair
1.0,69.0,56.0,3.0,Fair
0.7,66.4,56.0,3.0,Fair
1.45,64.4,58.0,3.0,Fair
1.52,64.7,58.0,3.0,Fair
1.0,64.9,56.0,5.0,Fair
2.0,66.3,54.0,4.0,Fair
1.5,65.5,53.0,3.0,Fair
0.7,64.4,58.0,3.0,Fair
1.0,65.1,55.0,3.0,Fair
0.71,64.4,56.0,5.0,Fair
0.59,64.4,59.0,4.0,Fair
1.12,64.6,57.0,3.0,Fair
0.7,65.0,56.0,2.0,Fair
3.65,67.1,53.0,0.0,Fair
2.01,65.9,57.0,3.0,Fair
1.41,64.7,58.0,0.0,Fair
0.5,64.9,57.0,4.0,Fair
1.0,64.6,59.0,4.0,Fair
0.99,68.1,56.0,3.0,Fair
0.7,64.9,57.0,5.0,Fair
1.01,66.0,56.0,7.0,Fair
1.51,65.7,61.0,0.0,Fair
0.7,67.5,55.0,0.0,Fair
1.9,67.1,64.0,3.0,Fair
0.71,64.8,63.0,3.0,Fair
1.0,65.4,57.0,0.0,Fair
0.51,65.4,60.0,7.0,Fair
0.7,65.3,54.0,2.0,Fair
1.2,65.2,58.0,2.0,Fair
0.96,64.3,59.0,0.0,Fair
1.64,64.5,60.0,0.0,Fair
1.01,65.3,55.0,3.0,Fair
3.01,65.8,56.0,3.0,Fair
1.47,65.9,59.0,3.0,Fair
1.0,66.9,55.0,7.0,Fair
2.01,64.4,61.0,2.0,Fair
0.5,66.5,60.0,4.0,Fair
2.02,65.6,57.0,0.0,Fair
0.9,64.4,59.0,3.0,Fair
1.01,65.2,52.0,5.0,Fair
0.58,65.1,58.0,3.0,Fair
1.02,64.6,61.0,5.0,Fair
1.52,67.7,58.0,0.0,Fair
0.9,65.2,61.0,5.0,Fair
1.0,64.7,60.0,2.0,Fair
0.7,65.7,55.0,5.0,Fair
1.47,66.7,59.0,0.0,Fair
0.74,65.2,58.0,7.0,Fair
0.7,64.9,59.0,4.0,Fair
0.71,64.6,59.0,5.0,Fair
1.56,64.6,62.0,2.0,Fair
0.6,64.5,56.0,2.0,Fair
0.51,66.5,58.0,3.0,Fair
2.14,69.4,57.0,0.0,Fair
0.6,66.5,56.0,3.0,Fair
0.48,64.9,54.0,5.0,Fair
0.9,65.3,61.0,2.0,Fair
0.9,66.9,63.0,0.0,Fair
0.62,65.4,59.0,2.0,Fair
0.9,64.5,55.0,3.0,Fair
0.9,69.0,59.0,3.0,Fair
0.7,68.3,56.0,0.0,Fair
0.41,64.5,57.0,7.0,Fair
2.52,63.7,59.0,3.0,Good
0.7,63.4,61.0,2.0,Good
1.01,63.1,57.0,0.0,Good
1.23,63.7,58.0,0.0,Good
1.01,63.6,60.0,2.0,Good
1.0,63.5,59.0,5.0,Good
0.41,63.2,58.0,2.0,Good
0.51,63.1,64.0,2.0,Good
1.01,63.2,59.0,2.0,Good
0.7,63.5,59.0,2.0,Good
0.4,63.4,59.0,3.0,Good
1.21,63.6,58.0,2.0,Good
1.0,63.7,60.0,4.0,Good
1.21,64.0,62.0,3.0,Good
1.05,63.6,59.0,3.0,Good
0.9,63.1,63.0,2.0,Good
1.01,63.7,59.0,3.0,Good
1.02,63.2,58.0,5.0,Good
1.41,63.8,60.0,5.0,Good
1.5,63.8,58.0,4.0,Good
1.04,64.0,60.0,3.0,Good
1.0,63.6,61.0,5.0,Good
0.9,63.1,58.0,3.0,Good
0.91,63.9,60.0,2.0,Good
0.3,63.4,58.0,2.0,Good
0.36,63.1,58.0,2.0,Good
1.72,63.4,62.0,3.0,Good
1.0,63.6,58.0,5.0,Good
0.52,63.6,62.0,2.0,Good
0.83,63.8,58.0,2.0,Good
0.5,63.5,58.0,3.0,Good
0.49,63.6,59.0,4.0,Good
0.5,63.2,61.0,3.0,Good
1.05,63.7,59.0,3.0,Good
0.78,63.9,64.0,2.0,Good
0.39,63.6,60.2,7.0,Good
1.0,63.9,60.0,3.0,Good
1.01,63.8,59.0,4.0,Good
1.5,64.0,56.0,0.0,Good
1.01,64.0,58.0,2.0,Good
1.2,63.7,58.0,5.0,Good
0.9,63.8,58.0,3.0,Good
0.9,63.7,61.0,5.0,Good
1.01,64.0,59.0,3.0,Good
1.02,63.5,61.0,2.0,Good
1.52,64.0,58.0,2.0,Good
0.9,63.4,59.0,3.0,Good
0.9,63.6,59.0,2.0,Good
1.5,64.0,61.0,0.0,Good
0.5,63.4,59.0,3.0,Good
0.9,63.6,58.0,5.0,Good
0.7,63.2,58.0,6.0,Good
0.91,64.2,58.0,5.0,Good
1.1,63.7,60.0,4.0,Good
1.21,63.7,64.0,3.0,Good
0.9,64.2,58.0,2.0,Good
1.14,63.7,56.0,0.0,Good
0.7,63.6,62.0,7.0,Good
1.01,63.8,60.0,2.0,Good
1.14,63.4,58.0,4.0,Good
0.73,63.7,58.0,5.0,Good
1.18,64.2,62.0,2.0,Good
1.01,63.8,60.0,2.0,Good
0.31,63.1,58.0,5.0,Good
1.5,63.6,58.0,5.0,Good
1.2,63.7,58.0,5.0,Good
0.7,63.3,58.0,3.0,Good
0.72,63.9,58.0,2.0,Good
1.51,63.6,61.0,2.0,Good
0.6,62.5,55.0,6.0,Ideal
0.32,61.7,55.0,3.0,Ideal
0.3,62.3,56.0,2.0,Ideal
0.71,60.4,56.0,3.0,Ideal
1.32,62.1,55.0,6.0,Ideal
0.71,60.5,56.0,2.0,Ideal
1.0,62.4,57.0,3.0,Ideal
