carat,depth,table,clarity,cut
0,1.12,64.6,57.0,3.0,Fair
1,0.5,66.9,57.0,5.0,Fair
2,0.7,65.3,54.0,2.0,Fair
3,2.0,65.2,56.0,5.0,Fair
4,1.0,66.9,55.0,7.0,Fair
5,1.52,64.7,58.0,3.0,Fair
6,1.35,66.0,58.0,3.0,Fair
8,0.41,64.5,57.0,7.0,Fair
9,0.5,66.3,55.0,5.0,Fair
10,1.01,65.1,57.0,2.0,Fair
11,1.01,66.8,61.0,4.0,Fair
13,1.0,64.6,59.0,4.0,Fair
14,0.51,66.5,58.0,3.0,Fair
15,2.0,65.7,60.0,2.0,Fair
16,1.01,65.5,62.0,5.0,Fair
17,0.99,68.1,56.0,3.0,Fair
19,0.74,65.4,53.0,7.0,Fair
22,0.96,69.7,59.0,2.0,Fair
23,0.73,64.4,59.0,7.0,Fair
24,0.7,68.3,56.0,0.0,Fair
25,1.0,67.8,53.0,3.0,Fair
26,3.11,65.9,57.0,0.0,Fair
27,1.9,67.1,64.0,3.0,Fair
28,1.52,65.4,62.0,0.0,Fair
29,1.58,64.7,58.0,2.0,Fair
30,0.5,64.9,57.0,4.0,Fair
31,1.03,65.3,59.0,3.0,Fair
32,1.5,64.7,55.0,3.0,Fair
33,1.21,65.0,59.0,2.0,Fair
34,0.6,64.5,56.0,2.0,Fair
35,0.7,65.2,59.0,5.0,Fair
36,1.0,64.9,56.0,5.0,Fair
37,2.0,69.1,56.0,3.0,Fair
38,0.7,64.9,57.0,5.0,Fair
39,1.01,65.5,57.0,2.0,Fair
41,3.02,65.2,56.0,0.0,Fair
42,2.01,65.9,57.0,3.0,Fair
44,2.03,64.9,59.0,3.0,Fair
45,1.0,64.9,58.0,2.0,Fair
46,1.0,67.6,57.0,5.0,Fair
47,1.51,65.7,61.0,0.0,Fair
48,0.7,65.9,59.0,2.0,Fair
49,1.01,65.3,55.0,3.0,Fair
51,0.5,65.2,57.0,3.0,Fair
53,0.6,66.5,56.0,3.0,Fair
54,1.52,65.4,58.0,4.0,Fair
55,0.81,65.7,57.0,3.0,Fair
57,0.98,66.6,56.0,3.0,Fair
58,0.74,65.2,58.0,7.0,Fair
59,1.5,69.6,62.0,3.0,Fair
60,0.7,64.9,59.0,4.0,Fair
61,1.64,64.5,60.0,0.0,Fair
62,2.22,70.1,55.0,0.0,Fair
63,0.71,64.8,63.0,3.0,Fair
64,1.0,64.8,62.0,5.0,Fair
65,0.3,66.6,54.0,7.0,Fair
66,2.14,69.4,57.0,0.0,Fair
67,0.9,69.0,59.0,3.0,Fair
68,3.65,67.1,53.0,0.0,Fair
69,0.7,64.3,62.0,0.0,Fair
70,0.7,64.4,58.0,3.0,Fair
71,1.45,64.4,58.0,3.0,Fair
73,1.19,64.9,58.0,2.0,Fair
74,1.21,64.5,56.0,5.0,Fair
76,0.7,67.3,59.0,0.0,Fair
77,0.7,64.5,60.0,3.0,Fair
78,0.7,65.0,56.0,2.0,Fair
80,1.2,65.2,58.0,2.0,Fair
81,0.85,66.7,59.0,0.0,Fair
82,0.96,67.3,56.0,2.0,Fair
83,1.0,66.1,59.0,3.0,Fair
84,0.63,65.7,60.0,5.0,Fair
86,0.9,65.2,61.0,5.0,Fair
87,0.62,65.4,59.0,2.0,Fair
88,0.9,64.4,53.0,5.0,Fair
89,1.01,64.4,59.0,2.0,Fair
91,1.47,65.9,59.0,3.0,Fair
92,0.5,66.5,58.0,4.0,Fair
93,1.0,64.7,60.0,2.0,Fair
95,1.01,66.0,57.0,2.0,Fair
96,0.7,64.9,59.0,0.0,Fair
99,0.73,66.9,54.0,0.0,Fair
100,2.01,64.4,61.0,2.0,Fair
101,1.08,65.1,54.0,5.0,Fair
102,1.51,65.3,62.0,2.0,Fair
103,0.9,64.5,55.0,3.0,Fair
104,0.73,64.6,60.0,4.0,Fair
105,1.0,65.4,57.0,0.0,Fair
108,0.58,65.1,58.0,3.0,Fair
109,1.01,66.0,56.0,7.0,Fair
110,1.0,68.9,56.0,2.0,Fair
111,0.7,64.5,57.0,4.0,Fair
113,0.7,67.5,55.0,0.0,Fair
115,0.98,68.0,63.0,0.0,Fair
116,1.01,65.3,59.0,2.0,Fair
117,0.7,66.5,55.0,2.0,Fair
118,1.05,64.8,55.0,3.0,Fair
119,0.9,65.5,59.0,2.0,Fair
120,0.7,66.5,62.0,0.0,Fair
121,0.51,65.4,60.0,7.0,Fair
122,2.0,65.1,57.0,3.0,Fair
124,1.0,64.8,59.0,2.0,Fair
125,0.58,65.8,56.0,0.0,Fair
127,1.01,68.5,63.0,3.0,Fair
128,0.7,70.8,56.0,0.0,Fair
129,2.02,65.6,57.0,0.0,Fair
130,1.52,67.7,58.0,0.0,Fair
131,1.0,65.1,55.0,3.0,Fair
132,1.01,65.2,52.0,5.0,Fair
134,1.5,65.5,53.0,3.0,Fair
135,3.01,65.8,56.0,3.0,Fair
136,1.5,64.3,58.0,2.0,Fair
137,0.7,65.7,55.0,5.0,Fair
138,0.9,65.3,61.0,2.0,Fair
139,1.5,65.8,57.0,3.0,Fair
141,0.5,66.5,60.0,4.0,Fair
143,0.71,64.6,59.0,5.0,Fair
144,1.47,66.7,59.0,0.0,Fair
145,0.59,64.4,59.0,4.0,Fair
146,1.0,64.9,59.0,2.0,Fair
148,0.71,65.4,59.0,4.0,Fair
150,1.22,64.7,61.0,3.0,Fair
151,0.73,64.7,56.0,3.0,Fair
152,2.0,65.9,60.0,2.0,Fair
153,0.7,66.0,53.0,2.0,Fair
155,1.02,64.6,61.0,5.0,Fair
156,1.41,64.7,58.0,0.0,Fair
158,1.01,64.4,58.0,5.0,Fair
159,0.9,64.4,59.0,3.0,Fair
161,1.01,65.3,57.0,2.0,Fair
163,0.7,67.6,54.0,6.0,Fair
165,0.29,64.7,62.0,5.0,Fair
169,0.8,67.1,56.0,3.0,Fair
170,1.01,64.7,54.0,4.0,Fair
172,2.0,66.3,54.0,4.0,Fair
174,0.51,65.5,51.0,5.0,Fair
175,1.03,65.5,58.0,2.0,Fair
176,0.9,66.9,63.0,0.0,Fair
177,1.01,64.5,59.0,4.0,Fair
179,0.71,64.4,56.0,5.0,Fair
180,0.48,64.9,54.0,5.0,Fair
181,2.0,69.8,54.0,0.0,Fair
183,0.51,65.2,55.0,2.0,Fair
184,1.59,65.2,58.0,3.0,Fair
186,0.96,64.3,59.0,0.0,Fair
187,2.31,67.4,56.0,0.0,Fair
188,2.01,65.9,57.0,3.0,Fair
189,1.5,71.3,58.0,0.0,Fair
190,0.9,64.7,59.0,3.0,Fair
191,1.0,69.0,56.0,3.0,Fair
192,1.02,65.3,59.0,3.0,Fair
193,0.7,66.4,56.0,3.0,Fair
196,0.9,64.6,58.0,4.0,Fair
198,1.56,64.6,62.0,2.0,Fair
202,1.21,63.7,64.0,3.0,Good
203,0.3,63.4,58.0,2.0,Good
206,0.39,63.6,60.2,7.0,Good
207,1.02,63.2,58.0,5.0,Good
212,0.5,63.5,58.0,3.0,Good
215,1.01,63.2,59.0,2.0,Good
216,0.49,63.6,59.0,4.0,Good
221,1.01,63.8,59.0,4.0,Good
223,1.01,64.0,58.0,2.0,Good
225,1.0,63.9,60.0,3.0,Good
227,0.91,64.2,58.0,5.0,Good
228,1.41,63.8,60.0,5.0,Good
229,1.5,63.8,58.0,4.0,Good
236,1.5,64.0,61.0,0.0,Good
238,0.7,63.2,58.0,6.0,Good
240,1.04,64.0,60.0,3.0,Good
244,1.72,63.4,62.0,3.0,Good
245,0.5,63.2,61.0,3.0,Good
248,1.5,64.0,56.0,0.0,Good
249,1.14,63.7,56.0,0.0,Good
250,1.2,63.7,58.0,5.0,Good
259,1.0,63.6,61.0,5.0,Good
261,0.9,64.2,58.0,2.0,Good
263,1.1,63.7,60.0,4.0,Good
265,1.21,64.0,62.0,3.0,Good
266,1.5,63.6,58.0,5.0,Good
274,0.91,63.9,60.0,2.0,Good
281,0.36,63.1,58.0,2.0,Good
282,1.21,63.6,58.0,2.0,Good
285,0.9,63.1,63.0,2.0,Good
287,0.72,63.9,58.0,2.0,Good
292,0.7,63.4,61.0,2.0,Good
295,1.52,64.0,58.0,2.0,Good
298,1.2,63.7,58.0,5.0,Good
299,2.52,63.7,59.0,3.0,Good
303,1.51,63.6,61.0,2.0,Good
307,1.18,64.2,62.0,2.0,Good
308,1.14,63.4,58.0,4.0,Good
311,1.01,63.1,57.0,0.0,Good
314,1.02,63.5,61.0,2.0,Good
316,1.01,63.6,60.0,2.0,Good
318,0.78,63.9,64.0,2.0,Good
328,0.7,63.5,59.0,2.0,Good
333,0.4,63.4,59.0,3.0,Good
339,1.0,63.7,60.0,4.0,Good
340,0.9,63.8,58.0,3.0,Good
341,1.01,63.8,60.0,2.0,Good
343,1.01,63.8,60.0,2.0,Good
346,0.83,63.8,58.0,2.0,Good
348,1.0,63.6,58.0,5.0,Good
349,0.9,63.6,59.0,2.0,Good
354,1.0,63.5,59.0,5.0,Good
355,0.73,63.7,58.0,5.0,Good
356,0.9,63.6,58.0,5.0,Good
357,0.5,63.4,59.0,3.0,Good
358,0.9,63.7,61.0,5.0,Good
360,0.52,63.6,62.0,2.0,Good
367,1.23,63.7,58.0,0.0,Good
371,1.01,63.7,59.0,3.0,Good
374,1.05,63.6,59.0,3.0,Good
376,0.7,63.3,58.0,3.0,Good
387,1.05,63.7,59.0,3.0,Good
389,0.9,63.4,59.0,3.0,Good
