carat,depth,table,clarity,cut
0,0.7,65.7,55.0,5.0,Fair
1,0.81,65.7,57.0,3.0,Fair
2,0.9,64.4,59.0,3.0,Fair
3,1.64,64.5,60.0,0.0,Fair
4,1.01,63.5,58.0,2.0,Fair
5,1.01,68.5,63.0,3.0,Fair
6,1.12,58.9,59.0,5.0,Fair
7,2.03,64.9,59.0,3.0,Fair
8,2.01,61.2,66.0,3.0,Fair
9,0.73,66.9,54.0,0.0,Fair
10,0.7,64.5,60.0,3.0,Fair
11,0.5,59.8,66.0,3.0,Fair
12,1.2,65.2,58.0,2.0,Fair
13,0.59,64.4,59.0,4.0,Fair
14,0.96,64.3,59.0,0.0,Fair
15,0.96,69.7,59.0,2.0,Fair
16,0.85,66.7,59.0,0.0,Fair
17,0.9,57.5,68.0,3.0,Fair
18,0.71,65.4,59.0,4.0,Fair
19,0.76,59.0,70.0,4.0,Fair
20,0.7,65.0,56.0,2.0,Fair
21,2.29,57.0,66.0,5.0,Fair
22,0.7,64.5,57.0,4.0,Fair
23,2.01,64.4,61.0,2.0,Fair
24,1.56,64.6,62.0,2.0,Fair
25,0.7,64.9,59.0,0.0,Fair
26,0.71,64.8,63.0,3.0,Fair
27,0.7,61.0,66.0,2.0,Fair
28,1.51,65.7,61.0,0.0,Fair
29,0.7,65.9,59.0,2.0,Fair
30,0.71,64.6,59.0,5.0,Fair
31,0.74,65.4,53.0,7.0,Fair
32,1.0,64.9,56.0,5.0,Fair
33,0.98,68.0,63.0,0.0,Fair
34,0.62,58.2,60.0,3.0,Fair
35,1.08,65.1,54.0,5.0,Fair
36,0.7,70.8,56.0,0.0,Fair
37,1.0,64.7,60.0,2.0,Fair
38,0.5,61.7,68.0,2.0,Fair
39,1.47,65.9,59.0,3.0,Fair
40,1.52,56.3,64.0,3.0,Fair
41,0.73,64.4,59.0,7.0,Fair
42,0.51,65.4,60.0,7.0,Fair
43,2.02,65.6,57.0,0.0,Fair
44,1.45,64.4,58.0,3.0,Fair
45,0.63,65.7,60.0,5.0,Fair
46,1.0,64.9,58.0,2.0,Fair
47,0.73,64.7,56.0,3.0,Fair
48,0.7,57.1,62.0,4.0,Fair
49,0.7,67.6,54.0,6.0,Fair
50,0.9,64.5,55.0,3.0,Fair
51,0.74,61.1,68.0,5.0,Fair
52,0.41,64.5,57.0,7.0,Fair
53,2.01,65.9,57.0,3.0,Fair
54,1.01,66.0,57.0,2.0,Fair
55,1.01,66.0,56.0,7.0,Fair
56,0.7,66.0,53.0,2.0,Fair
57,0.7,64.4,58.0,3.0,Fair
58,0.48,64.9,54.0,5.0,Fair
59,1.52,65.4,58.0,4.0,Fair
60,2.0,69.8,54.0,0.0,Fair
61,0.9,64.1,66.0,5.0,Fair
62,0.73,64.6,60.0,4.0,Fair
63,1.02,64.6,61.0,5.0,Fair
64,0.6,66.5,56.0,3.0,Fair
65,1.03,65.3,59.0,3.0,Fair
66,2.31,67.4,56.0,0.0,Fair
67,0.25,61.2,55.0,4.0,Fair
68,1.01,57.9,57.0,2.0,Fair
69,0.5,66.3,55.0,5.0,Fair
70,0.71,59.8,70.0,2.0,Fair
71,0.64,59.5,64.0,2.0,Fair
72,1.0,64.9,59.0,2.0,Fair
73,0.71,57.3,67.0,4.0,Fair
74,0.7,64.9,59.0,4.0,Fair
75,1.0,67.6,57.0,5.0,Fair
76,1.01,65.3,59.0,2.0,Fair
77,0.7,65.2,59.0,5.0,Fair
78,0.9,65.3,61.0,2.0,Fair
79,2.32,62.0,62.0,2.0,Fair
80,0.87,57.3,59.0,5.0,Fair
81,2.14,69.4,57.0,0.0,Fair
82,1.9,67.1,64.0,3.0,Fair
83,0.5,64.9,57.0,4.0,Fair
84,0.7,66.5,62.0,0.0,Fair
85,1.01,65.5,57.0,2.0,Fair
86,0.9,66.9,63.0,0.0,Fair
87,0.36,55.3,67.0,4.0,Fair
88,0.9,69.0,59.0,3.0,Fair
89,1.21,64.5,56.0,5.0,Fair
90,1.0,64.8,62.0,5.0,Fair
91,0.56,61.6,61.0,2.0,Fair
92,2.0,65.2,56.0,5.0,Fair
93,1.01,64.5,59.0,4.0,Fair
94,1.0,69.0,56.0,3.0,Fair
95,0.9,65.5,59.0,2.0,Fair
96,0.23,61.4,66.0,7.0,Fair
97,0.7,68.3,56.0,0.0,Fair
98,1.5,71.3,58.0,0.0,Fair
99,0.7,65.3,54.0,2.0,Fair
100,0.7,57.2,66.0,2.0,Fair
101,0.96,67.3,56.0,2.0,Fair
102,0.7,67.5,55.0,0.0,Fair
103,0.9,64.6,58.0,4.0,Fair
104,0.5,66.9,57.0,5.0,Fair
105,1.03,56.2,62.0,3.0,Fair
106,1.47,66.7,59.0,0.0,Fair
107,1.2,62.2,66.0,0.0,Fair
108,0.71,57.0,68.0,2.0,Fair
109,1.22,64.7,61.0,3.0,Fair
110,0.7,64.3,62.0,0.0,Fair
111,1.0,66.9,55.0,7.0,Fair
112,3.02,65.2,56.0,0.0,Fair
113,2.0,65.9,60.0,2.0,Fair
114,1.05,64.8,55.0,3.0,Fair
115,0.73,58.6,66.0,4.0,Fair
116,1.35,66.0,58.0,3.0,Fair
117,0.9,65.2,61.0,5.0,Fair
118,0.5,66.5,58.0,4.0,Fair
119,3.65,67.1,53.0,0.0,Fair
120,1.0,66.1,59.0,3.0,Fair
121,1.01,64.4,58.0,5.0,Fair
122,0.58,65.1,58.0,3.0,Fair
123,1.58,64.7,58.0,2.0,Fair
124,1.01,66.8,61.0,4.0,Fair
125,0.51,66.5,58.0,3.0,Fair
126,1.12,64.6,57.0,3.0,Fair
127,0.3,66.6,54.0,7.0,Fair
128,1.0,67.8,53.0,3.0,Fair
129,1.01,64.7,54.0,4.0,Fair
130,1.03,65.5,58.0,2.0,Fair
131,1.5,65.5,53.0,3.0,Fair
132,2.0,66.3,54.0,4.0,Fair
133,3.11,65.9,57.0,0.0,Fair
134,1.01,65.2,52.0,5.0,Fair
135,0.34,55.2,59.0,6.0,Fair
136,0.98,66.6,56.0,3.0,Fair
137,0.64,57.0,62.5,5.0,Fair
138,1.02,65.3,59.0,3.0,Fair
139,1.52,65.4,62.0,0.0,Fair
140,1.0,65.4,57.0,0.0,Fair
141,0.8,67.1,56.0,3.0,Fair
142,0.72,56.5,68.0,7.0,Fair
143,0.51,65.2,55.0,2.0,Fair
144,0.71,64.4,56.0,5.0,Fair
145,1.5,64.3,58.0,2.0,Fair
146,0.7,58.6,56.0,3.0,Fair
147,1.41,64.7,58.0,0.0,Fair
148,1.91,59.5,68.0,4.0,Fair
149,0.58,65.8,56.0,0.0,Fair
150,0.7,66.5,55.0,2.0,Fair
151,1.5,64.7,55.0,3.0,Fair
152,0.74,65.2,58.0,7.0,Fair
153,0.5,65.2,57.0,3.0,Fair
154,1.0,64.6,59.0,4.0,Fair
155,0.51,65.5,51.0,5.0,Fair
156,1.02,61.5,60.0,0.0,Fair
157,1.52,67.7,58.0,0.0,Fair
158,0.91,56.5,67.0,6.0,Fair
