"date","value"
"1996-01-01",79.35
"1996-02-01",75.78
"1996-03-01",86.32
"1996-04-01",72.6
"1996-05-01",74.86
"1996-06-01",83.81
"1996-07-01",79.8
"1996-08-01",62.41
"1996-09-01",85.41
"1996-10-01",83.11
"1996-11-01",84.21
"1996-12-01",89.7
"1997-01-01",78.64
"1997-02-01",77.42
"1997-03-01",89.86
"1997-04-01",81.27
"1997-05-01",78.68
"1997-06-01",89.51
"1997-07-01",83.67
"1997-08-01",69.8
"1997-09-01",91.09
"1997-10-01",89.43
"1997-11-01",91.04
"1997-12-01",92.87
"1998-01-01",81.87
"1998-02-01",85.36
"1998-03-01",92.98
"1998-04-01",81.09
"1998-05-01",85.64
"1998-06-01",91.14
"1998-07-01",83.46
"1998-08-01",66.37
"1998-09-01",93.34
"1998-10-01",85.93
"1998-11-01",86.81
"1998-12-01",93.3
"1999-01-01",81.59
"1999-02-01",81.77
"1999-03-01",91.24
"1999-04-01",79.45
"1999-05-01",86.99
"1999-06-01",96.6
"1999-07-01",97.99
"1999-08-01",79.13
"1999-09-01",103.56
"1999-10-01",100.89
"1999-11-01",99.4
"1999-12-01",111.8
"2000-01-01",95.3
"2000-02-01",97.77
"2000-03-01",116.23
"2000-04-01",100.98
"2000-05-01",104.07
"2000-06-01",114.64
"2000-07-01",107.62
"2000-08-01",96.12
"2000-09-01",123.5
"2000-10-01",116.12
"2000-11-01",116.86
"2000-12-01",128.61
"2001-01-01",100.56
"2001-02-01",103.05
"2001-03-01",119.06
"2001-04-01",92.46
"2001-05-01",98.75
"2001-06-01",111.14
"2001-07-01",96.13
"2001-08-01",79.72
"2001-09-01",102.07
"2001-10-01",96.18
"2001-11-01",101.26
"2001-12-01",109.85
"2002-01-01",89.52
"2002-02-01",89.27
"2002-03-01",104.35
"2002-04-01",87.05
"2002-05-01",89.33
"2002-06-01",102.2
"2002-07-01",88.13
"2002-08-01",75.68
"2002-09-01",99.48
"2002-10-01",96.4
"2002-11-01",96.16
"2002-12-01",101
"2003-01-01",89.34
"2003-02-01",86.91
"2003-03-01",98.9
"2003-04-01",85.54
"2003-05-01",85.25
"2003-06-01",101.14
"2003-07-01",91.8
"2003-08-01",76.98
"2003-09-01",104.33
"2003-10-01",99.72
"2003-11-01",101.06
"2003-12-01",109
"2004-01-01",89.88
"2004-02-01",92.27
"2004-03-01",105.11
"2004-04-01",91.5
"2004-05-01",92.56
"2004-06-01",104.35
"2004-07-01",96.21
"2004-08-01",79.58
"2004-09-01",105.43
"2004-10-01",99.18
"2004-11-01",99.77
"2004-12-01",113.55
"2005-01-01",91.65
"2005-02-01",90.56
"2005-03-01",105.52
"2005-04-01",92.18
"2005-05-01",91.22
"2005-06-01",109.04
"2005-07-01",99.26
"2005-08-01",83.36
"2005-09-01",110.8
"2005-10-01",104.95
"2005-11-01",107.07
"2005-12-01",114.4
"2006-01-01",99.16
"2006-02-01",99.86
"2006-03-01",116.14
"2006-04-01",103.48
"2006-05-01",103.07
"2006-06-01",119.32
"2006-07-01",107.94
"2006-08-01",90.59
"2006-09-01",121.8
"2006-10-01",117.11
"2006-11-01",113.71
"2006-12-01",120.37
"2007-01-01",103.93
"2007-02-01",104.1
"2007-03-01",125.72
"2007-04-01",104.7
"2007-05-01",108.45
"2007-06-01",123.11
"2007-07-01",108.89
"2007-08-01",94.07
"2007-09-01",121.88
"2007-10-01",116.81
"2007-11-01",115.87
"2007-12-01",127.14
"2008-01-01",109.45
"2008-02-01",105.23
"2008-03-01",121.32
"2008-04-01",108.78
"2008-05-01",103.2
"2008-06-01",117.93
"2008-07-01",103.76
"2008-08-01",89.27
"2008-09-01",109.5
"2008-10-01",104.02
"2008-11-01",100.12
"2008-12-01",101.18
"2009-01-01",77.38
"2009-02-01",75.19
"2009-03-01",86.4
"2009-04-01",74.13
"2009-05-01",74.1
"2009-06-01",85.61
"2009-07-01",79.9
"2009-08-01",65.36
"2009-09-01",88.09
"2009-10-01",84.6
"2009-11-01",88.09
"2009-12-01",102.52
"2010-01-01",79.28
"2010-02-01",78.74
"2010-03-01",94.62
"2010-04-01",84.66
"2010-05-01",85.2
"2010-06-01",103.94
"2010-07-01",89.87
"2010-08-01",78.14
"2010-09-01",96.5
"2010-10-01",94.68
"2010-11-01",101.77
"2010-12-01",103.48
"2011-01-01",92.57
"2011-02-01",89.16
"2011-03-01",104.48
"2011-04-01",89.45
"2011-05-01",93.4
"2011-06-01",102.9
"2011-07-01",93.77
"2011-08-01",77.58
"2011-09-01",95.04
"2011-10-01",91.77
"2011-11-01",93.37
"2011-12-01",98.34
"2012-01-01",86.44
"2012-02-01",85.04
"2012-03-01",97.8
