"food_exp","income","incomebc"
115.22,3.69,1.30562645805244
135.98,4.39,1.47932922708708
119.34,4.75,1.55814461804655
114.96,6.03,1.79674701073909
187.05,12.47,2.52332575969195
243.92,12.98,2.56340971127594
267.43,14.2,2.65324196460721
238.71,14.76,2.69192081917233
295.94,15.32,2.72915916431245
317.78,16.39,2.79667139275574
216,17.35,2.85359250639287
240.35,17.77,2.87751164216656
386.57,17.93,2.88647528761704
261.53,18.43,2.91397977168173
249.34,18.55,2.92046978905344
309.87,18.8,2.9338568698359
345.89,18.81,2.93438864331294
165.54,19.04,2.94654202936322
196.98,19.22,2.95595140354215
395.26,19.93,2.9922261342247
406.34,20.13,3.0022112396517
171.92,20.33,3.01209762764026
303.23,20.37,3.01406323023871
377.04,20.43,3.01700440882953
194.35,21.45,3.06572464537403
213.48,22.52,3.11440380327149
293.87,22.55,3.11573506594869
259.61,22.86,3.12938865836666
323.71,24.2,3.18635263316264
275.02,24.39,3.19417321222783
109.71,24.42,3.19540246868256
359.19,25.2,3.22684399451738
201.51,25.5,3.23867845216438
460.36,26.61,3.2812870849896
447.76,26.7,3.2846635654062
482.55,27.14,3.30100865440672
438.29,27.16,3.3017453026905
587.66,28.62,3.3541057741283
257.95,29.4,3.38099467434464
375.73,33.4,3.50855589998265
