"classe","roll_belt","pitch_belt","yaw_belt","total_accel_belt","gyros_belt_x","gyros_belt_y","gyros_belt_z","accel_belt_x","accel_belt_y","accel_belt_z","magnet_belt_x","magnet_belt_y","magnet_belt_z","roll_arm","pitch_arm","yaw_arm","total_accel_arm","gyros_arm_x","gyros_arm_y","gyros_arm_z","accel_arm_x","accel_arm_y","accel_arm_z","magnet_arm_x","magnet_arm_y","magnet_arm_z","roll_dumbbell","pitch_dumbbell","yaw_dumbbell","total_accel_dumbbell","gyros_dumbbell_x","gyros_dumbbell_y","gyros_dumbbell_z","accel_dumbbell_x","accel_dumbbell_y","accel_dumbbell_z","magnet_dumbbell_x","magnet_dumbbell_y","magnet_dumbbell_z","roll_forearm","pitch_forearm","yaw_forearm","total_accel_forearm","gyros_forearm_x","gyros_forearm_y","gyros_forearm_z","accel_forearm_x","accel_forearm_y","accel_forearm_z","magnet_forearm_x","magnet_forearm_y","magnet_forearm_z"
"A",1.48,8.07,-94.4,3,0.02,0.02,-0.02,-21,2,24,-6,600,-302,-128,22.1,-161,34,0,-0.03,0,-289,111,-123,-374,337,506,13.37871611,-70.42855971,-84.85305745,37,0,-0.02,0,-233,48,-270,-554,292,-68,28,-63.9,-152,36,0.02,0,-0.02,189,206,-214,-17,655,473
"A",1.45,8.17,-94.4,3,0.03,0,0,-21,4,22,-3,609,-308,-128,21.6,-161,34,0.02,-0.03,-0.02,-288,110,-124,-376,334,516,13.33033728,-70.85058796,-84.44601983,37,0,-0.02,0,-235,48,-270,-558,291,-69,27.7,-63.8,-152,36,0.02,0,-0.02,190,205,-215,-22,656,473
"A",1.42,8.21,-94.4,3,0.02,0,-0.02,-22,4,21,-8,598,-310,-128,21.4,-161,34,0.02,0,-0.03,-288,111,-124,-371,331,523,13.41047767,-70.99594236,-84.28004856,37,0.02,-0.02,-0.02,-234,48,-268,-554,295,-68,27.2,-63.9,-151,36,0,-0.02,-0.03,193,202,-214,-14,659,478
"A",1.48,8.15,-94.4,3,0,0,0,-21,4,23,0,592,-305,-129,21.3,-161,34,0.02,0,-0.03,-289,109,-121,-367,340,509,13.35068947,-70.25176373,-85.03638595,37,0,-0.02,0,-233,48,-271,-554,297,-73,27.1,-64,-151,36,0.02,0,0,194,204,-215,-13,656,471
"A",1.51,8.12,-94.4,3,0,0,-0.02,-21,4,22,-6,598,-317,-129,21.3,-161,34,0.02,0,-0.02,-289,110,-122,-371,337,512,13.04835112,-70.10639112,-85.26057697,37,0,-0.02,0,-233,47,-272,-551,296,-56,27.1,-64,-151,36,0.02,-0.02,0,192,204,-213,-13,653,481
"A",1.55,8.08,-94.4,3,0,0.02,0,-21,5,21,1,600,-316,-129,21.2,-161,34,0.02,-0.02,-0.03,-288,108,-124,-373,336,510,13.2064634,-70.3903701,-84.93667392,36,0.02,-0.02,-0.02,-231,47,-268,-557,292,-62,27,-64,-151,36,0.02,0,-0.02,192,206,-216,-16,653,472
"A",1.6,8.1,-94.4,3,0.02,0,-0.02,-20,1,20,-10,607,-304,-129,20.9,-161,34,0.03,-0.02,-0.02,-288,111,-124,-375,337,513,13.38245941,-70.81758832,-84.46500278,37,0,-0.02,0,-234,48,-269,-554,299,-72,26.9,-63.9,-151,36,0.03,-0.03,-0.02,194,208,-214,-11,654,469
"A",1.57,8.09,-94.4,3,0.02,0.02,-0.02,-21,3,21,-2,604,-313,-129,20.8,-161,34,0.03,-0.02,-0.02,-289,111,-123,-372,338,510,13.37871611,-70.42855971,-84.85305745,37,0,-0.02,0,-233,48,-270,-554,301,-65,27,-63.9,-151,36,0.02,-0.03,-0.02,191,206,-213,-17,654,478
"A",1.44,8.19,-94.4,3,0.02,0,-0.03,-21,5,21,-4,603,-315,-129,20.6,-161,34,0.02,-0.02,-0.02,-289,108,-127,-368,338,528,13.10687346,-70.84904,-84.50636612,37,0,-0.02,-0.02,-234,47,-269,-555,299,-66,26.7,-63.7,-151,36,0,0,0,192,206,-216,-19,653,466
"A",1.43,8.17,-94.4,3,0,0,-0.03,-22,4,19,4,602,-316,-129,20.5,-161,34,0.03,-0.02,0,-290,110,-126,-375,339,508,13.29883416,-70.28683115,-85.01527601,37,0,-0.02,-0.02,-234,48,-272,-556,298,-62,26.7,-63.7,-151,36,0,-0.02,-0.02,196,207,-216,-15,650,473
"A",1.41,8.11,-94.3,3,0,0.02,-0.02,-20,3,22,0,606,-317,-130,20.3,-161,34,0.03,-0.02,-0.02,-290,111,-124,-363,342,515,13.35451266,-70.63995378,-84.64918975,37,0,-0.02,0,-234,48,-270,-558,290,-65,26.4,-63.9,-150,36,-0.02,0.02,-0.03,193,205,-214,-17,656,472
"A",1.4,8.04,-94.3,3,0.02,0,-0.02,-21,3,21,-2,601,-319,-130,20.2,-161,34,0.02,-0.02,0,-289,112,-122,-369,334,510,13.05217456,-70.49400371,-84.87393888,37,0,-0.02,0,-234,47,-271,-563,287,-68,26.4,-63.9,-150,36,0,-0.02,-0.02,194,203,-213,-11,658,472
"A",1.4,8.05,-94.3,3,0.03,0,-0.02,-20,5,21,-1,596,-313,-130,20.1,-162,34,0.02,-0.02,-0.02,-291,111,-123,-376,350,514,13.07574259,-70.28271016,-85.07803122,37,0,-0.02,0,-233,47,-271,-554,300,-71,26.4,-63.9,-150,36,0.02,-0.02,0.02,194,201,-214,-16,654,478
"A",1.39,8.05,-94.3,3,0,0,-0.03,-22,1,21,1,606,-310,-130,20,-162,34,0.02,-0.02,-0.02,-288,110,-124,-370,337,500,13.13073959,-70.63750507,-84.71064711,37,0,-0.02,0,-233,47,-269,-560,294,-64,26.4,-63.9,-150,36,0.03,-0.02,0,193,208,-216,-14,656,464
"A",1.34,8.05,-94.3,3,0,0.02,-0.03,-22,3,20,2,602,-317,-130,19.9,-162,34,0.02,-0.03,-0.02,-289,110,-124,-372,339,507,13.70755934,-70.36176881,-84.83080156,37,-0.02,0,0,-232,49,-269,-554,297,-62,26.4,-63.9,-150,36,0.02,-0.02,-0.02,192,207,-216,-13,659,465
"A",1.3,7.85,-94.2,3,-0.02,0.02,0,-20,1,20,-8,603,-310,-130,19.7,-162,34,0.02,-0.03,-0.02,-290,110,-123,-367,333,515,12.45410714,-70.58765444,-84.93285578,37,0,-0.02,0.02,-235,45,-272,-560,299,-65,26,-63.9,-150,36,0.02,-0.02,-0.02,192,203,-215,-12,648,464
"A",1.31,7.69,-94.2,3,0.02,0,-0.03,-19,3,21,-2,597,-317,-130,19.6,-162,34,-0.02,-0.02,-0.03,-288,108,-124,-371,337,508,13.13771445,-71.41795984,-83.93197331,37,0,0,0,-235,47,-267,-554,295,-61,25.5,-63.8,-149,36,0.02,0,-0.07,195,207,-216,-15,657,460
"A",1.3,7.68,-94.2,3,0,0,-0.02,-18,4,23,1,597,-316,-130,19.5,-162,34,0,-0.02,-0.02,-289,109,-125,-372,335,515,13.76151374,-70.32648299,-84.85114062,36,0,-0.02,0,-231,49,-268,-555,293,-74,25.4,-63.8,-149,36,0,-0.02,-0.05,193,206,-215,-10,656,461
"A",1.25,7.46,-94.1,3,0,0,-0.02,-20,4,23,-8,599,-316,-130,19.3,-162,34,0.02,0,-0.02,-289,111,-124,-364,348,533,13.43498726,-70.78431067,-84.4840986,37,-0.02,-0.02,-0.02,-233,48,-268,-562,300,-65,24.9,-63.8,-149,36,0,-0.03,-0.03,192,204,-215,-15,651,474
"A",1.25,7.45,-94.1,3,0.02,0,-0.02,-19,1,23,2,597,-304,-131,19.1,-162,34,0.02,-0.02,-0.02,-290,110,-125,-369,334,513,13.40681541,-70.60607434,-84.66896285,37,-0.02,-0.02,-0.02,-233,48,-269,-551,304,-52,24.9,-63.8,-149,36,0,-0.02,-0.05,190,205,-214,-16,655,472
"A",1.26,7.4,-94.1,3,0,0,-0.02,-20,3,22,-6,606,-314,-131,18.9,-162,34,0,-0.02,-0.02,-290,111,-125,-374,342,511,13.37871611,-70.42855971,-84.85305745,37,-0.02,-0.02,0,-233,48,-270,-557,291,-70,25,-63.8,-149,36,0.02,-0.02,0,192,202,-214,-12,649,476
"A",1.27,7.35,-94.1,3,0,0,-0.03,-20,4,21,-7,603,-312,-131,18.8,-162,34,0,-0.02,0,-289,111,-121,-369,341,514,13.40681541,-70.60607434,-84.66896285,37,0,-0.02,0,-233,48,-269,-554,297,-54,25,-63.7,-149,36,0.03,-0.02,0.02,187,206,-215,-13,655,471
"A",1.28,7.33,-94.1,3,0,0,-0.03,-19,3,21,-3,605,-319,-131,18.8,-162,34,0.02,-0.02,0,-288,109,-125,-368,339,510,13.38245941,-70.81758832,-84.46500278,37,0,-0.02,0,-234,48,-269,-564,288,-69,24.9,-63.7,-149,36,0.02,0,-0.02,190,208,-215,-22,654,475
"A",1.18,7.25,-94.1,3,0.02,0,-0.02,-19,5,20,-1,606,-308,-131,18.1,-162,34,0.02,-0.02,0,-289,110,-122,-368,335,513,12.22402703,-70.19486698,-85.38055864,37,0,-0.03,-0.02,-233,44,-272,-556,291,-65,23.4,-63.8,-147,36,0.05,0,0.02,195,204,-210,-6,648,466
"A",1.18,7.26,-94.1,3,0.02,0,-0.03,-20,3,22,-8,602,-309,-131,18.1,-162,34,0.02,-0.03,-0.02,-289,110,-122,-369,341,510,12.9,-70.5,-85,37,0,-0.02,-0.03,-232,46,-269,-563,295,-51,23.4,-63.8,-147,36,0.06,0,0.03,192,205,-213,-5,653,475
"A",1.1,7.32,-94.1,3,0.02,0,-0.02,-18,3,20,-6,597,-313,-131,17.8,-162,34,0,-0.02,-0.02,-289,110,-123,-372,340,516,12.83108713,-70.87987135,-84.54692154,37,0,-0.02,0,-234,46,-269,-554,295,-53,23.5,-63.4,-147,36,0.05,-0.06,0.02,192,201,-213,-9,657,473
"A",1.06,7.41,-94.1,3,0.03,0,-0.02,-20,3,21,2,602,-309,-131,17.7,-162,34,0,-0.02,-0.02,-290,111,-123,-368,342,514,12.80059675,-70.31304585,-85.11886321,37,0,-0.02,-0.02,-233,46,-271,-558,294,-63,23.7,-63.2,-147,36,0.02,-0.02,-0.02,190,207,-215,-15,656,470
"A",1.06,7.44,-94.1,3,0.03,0,-0.02,-20,4,22,-3,607,-306,-131,17.7,-162,34,0,-0.02,0,-291,111,-123,-370,341,511,13.08303562,-71.05981082,-84.30278931,37,0,-0.02,-0.02,-235,47,-269,-551,295,-54,23.7,-63.2,-147,36,0,-0.02,-0.05,190,205,-215,-15,661,462
"A",1.04,7.46,-94,3,0,0,-0.03,-20,4,22,-3,601,-311,-131,17.7,-162,34,-0.02,-0.03,-0.02,-289,109,-124,-370,336,525,12.78106438,-70.91243032,-84.52727342,37,0,-0.02,-0.02,-235,46,-270,-560,292,-63,23.6,-63.3,-147,36,0.02,-0.02,-0.02,194,201,-212,-12,653,472
"A",1.04,7.47,-94.1,3,0.02,0,-0.03,-20,4,21,-4,601,-316,-131,17.6,-162,34,0,-0.02,0,-289,109,-123,-368,344,523,12.0244618,-70.75700408,-84.86920748,37,0,-0.02,0,-233,43,-269,-562,283,-71,23.6,-63.2,-147,36,0,-0.02,-0.02,191,204,-214,-15,662,462
"A",1.03,7.49,-94,3,0.02,0,-0.03,-20,3,24,-5,608,-298,-131,17.6,-162,34,0,-0.02,-0.02,-290,109,-123,-369,330,514,12.77751367,-70.52436046,-84.91445734,37,0,-0.02,-0.02,-234,46,-271,-563,289,-62,23.6,-63.3,-147,36,0,-0.02,-0.02,191,205,-213,-14,660,477
"A",1.02,7.5,-94,3,0.02,0,-0.03,-19,3,21,-12,601,-314,-131,17.5,-162,34,0,-0.02,-0.02,-289,110,-125,-367,341,506,12.78106438,-70.91243032,-84.52727342,37,0,-0.02,0,-235,46,-270,-556,287,-71,23.6,-63.3,-147,36,0.02,-0.02,0,191,204,-212,-18,655,472
"A",1.03,7.43,-94.1,3,0,0,-0.02,-19,3,24,-1,598,-299,-132,17.1,-163,34,0,0,-0.03,-289,108,-122,-369,342,527,12.77751367,-70.52436046,-84.91445734,37,0,-0.02,0,-234,46,-271,-557,293,-69,23.5,-63.3,-147,36,0,0.02,-0.02,192,206,-214,-19,659,462
"A",1.06,7.42,-94.1,3,0.02,0,-0.02,-19,4,23,-5,601,-308,-132,17.1,-163,34,0,0,-0.03,-289,111,-122,-368,338,515,12.57798757,-70.69850444,-84.79157034,37,0,-0.02,-0.02,-233,45,-269,-557,289,-72,23.3,-63.4,-147,36,0,0,-0.02,191,206,-213,-12,644,462
"A",1.04,7.43,-94.1,3,0.02,0,-0.03,-18,4,25,-2,602,-304,-132,17.1,-163,34,0,-0.02,-0.03,-288,109,-125,-358,337,518,12.42819346,-70.41134345,-85.11480144,37,0,-0.02,-0.02,-235,45,-273,-557,292,-65,23.1,-63.4,-147,36,0.02,0.02,-0.03,194,206,-212,-9,655,467
"A",1.08,7.44,-94,3,0.02,0.02,-0.02,-20,4,27,-2,605,-299,-132,17,-163,34,0,-0.02,-0.03,-289,112,-124,-362,332,517,12.80426595,-70.70175536,-84.73107178,37,0,-0.02,-0.02,-234,46,-270,-555,284,-69,22.7,-63.5,-146,36,0.02,-0.02,-0.03,192,204,-215,-7,653,463
"A",1.07,7.44,-94,3,0.02,0,-0.03,-19,4,24,-3,605,-308,-132,16.9,-163,34,0.02,0,-0.03,-285,111,-123,-374,335,520,13.38245941,-70.81758832,-84.46500278,37,0,-0.02,-0.02,-234,48,-269,-562,295,-56,22.6,-63.5,-146,36,0.02,0,-0.02,191,203,-213,-12,650,468
