"INCOME","SEX","MARITAL.STATUS","AGE","EDUCATION","OCCUPATION","AREA","DUAL.INCOMES","HOUSEHOLD.SIZE","UNDER18","HOUSEHOLDER","HOME.TYPE","ETHNIC.CLASS","LANGUAGE"
"[75.000-","F","Married","45-54","1 to 3 years of college","Homemaker","10+ years","No","Three","None","Own","House","White",NA
"[75.000-","M","Married","45-54","College graduate","Homemaker","10+ years","No","Five","Two","Own","House","White","English"
"[75.000-","F","Married","25-34","College graduate","Professional/Managerial","10+ years","Yes","Three","One","Rent","Apartment","White","English"
"-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Four","Two","Family","House","White","English"
"-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","4-6 years","Not Married","Four","Two","Family","House","White","English"
"[50.000-75.000)","M","Married","55-64","1 to 3 years of college","Retired","10+ years","No","Two","None","Own","House","White","English"
"-10.000)","M","Single","18-24","Graduated High Scool","Unemployed","7-10 years","Not Married","Three","One","Rent","Apartment","White","English"
"[30.000-40.000)","M","Divorced","25-34","1 to 3 years of college","Factory Worker/Laborer/Driver","10+ years","Not Married","One","None","Rent","Apartment","White","English"
"[10.000-15.000)","M","Married","55-64","Graduated High Scool","Retired","10+ years","No","Three","None","Rent","Apartment","White","English"
"[20.000-25.000)","M","Married","65+","1 to 3 years of college","Retired","7-10 years","No","Two","None","Rent","Apartment","White","English"
"-10.000)","M","Single","18-24","1 to 3 years of college","Unemployed","10+ years","Not Married","One","None","Rent","Apartment","White","English"
"[20.000-25.000)","F","Together","18-24","Graduated High Scool","Sales Worker","10+ years","Not Married","Two","None","Own","House","Hispanic","English"
"[50.000-75.000)","F","Married","25-34","Grad Study","Student, HS or College","1-3 years","Yes","Four","Two","Own","House","White","English"
"[40.000-50.000)","F","Married","45-54","Graduated High Scool","Homemaker","10+ years","No","Four","None","Rent","House","White","English"
"[20.000-25.000)","M","Widowed","55-64","Graduated High Scool",NA,"10+ years","Not Married","One","None","Own","House","White",NA
"[40.000-50.000)","F","Married","45-54","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Two","Two","Own","House","White","English"
"-10.000)","F","Divorced","25-34","Graduated High Scool","Sales Worker","1-3 years","Not Married","Two","One","Rent","Apartment","White","English"
"[75.000-","F","Married","45-54","College graduate","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White",NA
"[50.000-75.000)","F","Married","45-54","Graduated High Scool","Homemaker","-1 year","No","Two","None","Rent","Apartment","White","English"
"[75.000-","M","Single","14-17","Grades 9 to 11","Unemployed",NA,"Not Married","Four","Two","Family","House","White","English"
"[10.000-15.000)","M","Divorced","35-44","Grades 9 to 11","Factory Worker/Laborer/Driver","7-10 years","Not Married","Two","None","Rent","Apartment","White","English"
"[75.000-","F","Married","35-44","1 to 3 years of college","Sales Worker","10+ years","No","Five","Three","Own","House","Hispanic","Spanish"
"[50.000-75.000)","M","Married","35-44","1 to 3 years of college","Professional/Managerial","10+ years","No","Five","Three","Own","House","White","English"
"[20.000-25.000)","F","Divorced","45-54","1 to 3 years of college","Sales Worker","4-6 years","Not Married","Three","None","Rent","Other","White","English"
"-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Four","One","Family","House","White","English"
"[75.000-","M","Married","25-34","College graduate","Professional/Managerial","10+ years","Yes","Three","One","Rent","Apartment","White","English"
"[40.000-50.000)","M","Married","35-44","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Three","None","Own","House","White","English"
"[75.000-","M","Married","35-44","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Three","One","Own","House","White","English"
"[30.000-40.000)","M","Married","35-44","Grad Study","Professional/Managerial",NA,"Yes","Three","One","Own","House","White","English"
