"date","Quotes","TV.advert"
2002-01-01,12.97065,7.212725
2002-02-01,15.38714,9.44357
2002-03-01,13.22957,7.53425
2002-04-01,12.97065,7.212725
2002-05-01,15.38714,9.44357
2002-06-01,11.72288,6.415215
2002-07-01,10.06177,5.80699
2002-08-01,10.82279,6.2036
2002-09-01,13.28707,7.58643
2002-10-01,14.57832,8.004935
2002-11-01,15.60542,8.83498
2002-12-01,15.93515,8.957255
2003-01-01,16.99486,9.53299
2003-02-01,16.87821,9.39295
2003-03-01,16.45128,8.91856
2003-04-01,15.28118,8.37412
2003-05-01,15.88901,9.844505
2003-06-01,15.67747,9.84939
2003-07-01,13.2878,8.40273
2003-08-01,12.64484,7.920675
2003-09-01,11.82771,7.436085
2003-10-01,9.69184,6.34049
2003-11-01,10.30415,6.939995
2003-12-01,11.38253,6.9771
2004-01-01,12.95149,8.010201
2004-02-01,13.63092,9.56546
2004-03-01,9.12098,6.27251
2004-04-01,8.39468,5.707495
2004-05-01,12.30076,7.96354
2004-06-01,13.84831,8.494221
2004-07-01,15.96246,9.789085
2004-08-01,14.19738,8.692825
2004-09-01,12.85922,8.05723
2004-10-01,12.08837,7.588995
2004-11-01,12.93375,8.244881
2004-12-01,11.72235,6.67554
2005-01-01,15.47126,9.219604
2005-02-01,18.43898,10.9638
2005-03-01,17.49186,10.45629
2005-04-01,14.49168,8.7286
