"date","value"
1961-01-01,232.288994
1962-01-01,229.536258
1963-01-01,233.145936
1964-01-01,243.763684
1965-01-01,252.602916
1966-01-01,259.677371
1967-01-01,260.766892
1968-01-01,269.784084
1969-01-01,266.414974
1970-01-01,263.917747
1971-01-01,268.307222
1972-01-01,260.662556
1973-01-01,266.639419
1974-01-01,277.515778
1975-01-01,283.834045
1976-01-01,290.309028
1977-01-01,292.474198
1978-01-01,300.830694
1979-01-01,309.286657
1980-01-01,318.331081
1981-01-01,329.37239
1982-01-01,338.883998
1983-01-01,339.244126
1984-01-01,328.600632
1985-01-01,314.255385
1986-01-01,314.459695
1987-01-01,321.413779
1988-01-01,329.789292
1989-01-01,346.385165
1990-01-01,352.297882
1991-01-01,348.370515
1992-01-01,417.562922
1993-01-01,417.12357
1994-01-01,417.749459
1995-01-01,412.233904
1996-01-01,411.946817
1997-01-01,394.697075
1998-01-01,401.49927
1999-01-01,408.270468
2000-01-01,414.2428
2001-01-01,407.997978
2002-01-01,403.460832
2003-01-01,413.824928
2004-01-01,428.104959
2005-01-01,445.338742
2006-01-01,452.994173
2007-01-01,455.74017
