PID,county,state,area,poptotal,popdensity,popwhite,popblack,popamerindian,popasian,popother,percwhite,percblack,percamerindan,percasian,percother,popadults,perchsd,percollege,percprof,poppovertyknown,percpovertyknown,percbelowpoverty,percchildbelowpovert,percadultpoverty,percelderlypoverty,inmetro,category,dot_size
561,ADAMS,IL,0.052000000000000005,66090,1270.96154,63917,1702,98,249,124,96.71205929999999,2.57527614,0.14828264,0.37675897,0.18762294,43298,75.1073953,19.6313918,4.35585939,63628,96.2747768,13.151442800000002,18.0117169,11.009775900000001,12.4438118,0,AAR,250.94441142986443
562,ALEXANDER,IL,0.013999999999999999,10626,759.0,7054,3496,19,48,9,66.38434029999999,32.9004329,0.1788067,0.45172219,0.08469791,6724,59.7263534,11.2433076,2.87031529,10529,99.08714470000001,32.2442777,45.826513899999995,27.3856467,25.2289759,0,LHR,185.7812599438548
563,BOND,IL,0.022000000000000002,14991,681.409091,14477,429,35,16,34,96.57127609999999,2.86171703,0.23347342,0.10673071,0.22680275,9669,69.33498809999999,17.0338194,4.48857172,14235,94.9569742,12.0688444,14.036060999999998,10.852089999999999,12.697410000000001,0,AAR,175.90538497655902
564,BOONE,IL,0.017,30806,1812.11765,29344,127,46,150,1139,95.2541713,0.41225735,0.14932156,0.48691813,3.69733169,19272,75.4721876,17.278953899999998,4.19779992,30337,98.4775693,7.20901869,11.1795358,5.53601292,6.21704745,1,ALU,319.82348694305574
565,BROWN,IL,0.018000000000000002,5836,324.22222200000004,5264,547,14,5,6,90.19876629999999,9.37285812,0.23989034,0.08567512,0.10281014,3979,68.86152299999999,14.475999,3.36768032,4815,82.5051405,13.5202492,13.0228887,11.1432109,19.2,0,AAR,130.4421612088899
566,BUREAU,IL,0.05,35688,713.76,35157,50,65,195,221,98.51210490000001,0.14010312,0.18213405,0.54640215,0.61925577,23444,76.62941479999999,18.9046238,3.27589149,35107,98.37200179999999,10.399635400000001,14.1588185,8.17928731,11.0085864,0,AAR,180.02305206513978
567,CALHOUN,IL,0.017,5322,313.058824,5298,1,8,15,0,99.5490417,0.01878993,0.15031943,0.28184893,0.0,3583,62.8244488,11.917387699999999,3.20960089,5241,98.4780158,15.149780599999998,13.7877614,12.9323308,21.085271300000002,0,LAR,129.0212689384029
568,CARROLL,IL,0.027000000000000003,16805,622.407407,16519,111,30,61,84,98.29812559999999,0.6605177,0.1785183,0.36298721,0.49985123,11323,75.95160290000001,16.1971209,3.05572728,16455,97.9172865,11.710726199999998,17.2254616,10.027036599999999,9.52505219,0,AAR,168.39557150029344
569,CASS,IL,0.024,13437,559.875,13384,16,8,23,6,99.6055667,0.11907419999999999,0.059537099999999996,0.17116916,0.04465282,8825,72.27195470000001,14.107648699999999,3.20679887,13081,97.3505991,13.875085999999998,17.9947841,11.9143432,13.660179600000001,0,AAR,160.43636286496155
571,CHRISTIAN,IL,0.042,34418,819.4761900000001,34176,82,51,89,20,99.2968795,0.23824743,0.14817828,0.25858562,0.05810913,22945,73.074744,13.567226000000002,3.08999782,33788,98.1695624,11.708298800000001,16.3206125,9.56969969,11.490640800000001,0,AAR,193.47875052149996
572,CLARK,IL,0.03,15921,530.7,15842,10,26,36,7,99.5038,0.06281012,0.16330632,0.22611645,0.04396709,10734,71.3340786,15.110862699999998,2.77622508,15615,98.07801020000001,12.007684900000001,15.321547500000001,10.1317752,12.5954198,0,AAR,156.72292973362846
573,CLAY,IL,0.027999999999999997,14460,516.428571,14403,4,17,29,7,99.60580909999999,0.02766252,0.1175657,0.20055325,0.04840941,9647,65.5644242,13.6830103,2.78843164,14248,98.53388659999999,16.7742841,20.5825776,14.4641142,17.6700783,0,LAR,154.90644310877605
574,CLINTON,IL,0.028999999999999998,33944,1170.4827599999999,32688,1021,48,104,83,96.29978790000001,3.00789536,0.14140938,0.30638699,0.24452039,21563,67.16597879999999,15.3874693,2.87529565,32190,94.8326656,10.2236719,13.2994025,9.25383422,8.32317604,1,LAU,238.15533754304585
575,COLES,IL,0.03,51644,1721.46667,50177,925,92,341,109,97.159399,1.79110836,0.17814267,0.66028968,0.21106034,29136,76.10516199999999,25.1750412,8.14456343,45693,88.4768802,16.748736100000002,16.3419409,18.7929138,10.9936084,0,AAR,308.28530862189666
577,CRAWFORD,IL,0.026000000000000002,19464,748.615385,19300,63,34,48,19,99.1574188,0.32367448,0.17468146,0.24660912,0.09761611,13317,76.0306375,16.9858076,3.33408425,19123,98.2480477,10.5370496,13.809825,8.87024273,10.8033875,0,AAR,184.45949221816022
578,CUMBERLAND,IL,0.02,10670,533.5,10627,5,6,26,6,99.59700090000001,0.04686036,0.05623243,0.24367385,0.05623243,6727,72.2461721,14.5978891,2.69064962,10590,99.2502343,12.049102900000001,13.6031851,9.8222638,15.284625699999998,0,AAR,157.07931748916343
579,DE KALB,IL,0.038,77932,2050.84211,72968,2069,123,1751,1021,93.6303444,2.65487861,0.1578299,2.24683057,1.31011651,41817,83.8797618,32.835928,11.150967300000001,69127,88.7016887,13.544635199999998,8.67823765,17.0474188,6.45390792,1,HAU,350.2086564040193
580,DE WITT,IL,0.023,16516,718.086957,16387,25,37,43,24,99.2189392,0.15136837,0.22402519,0.2603536,0.14531364,10941,74.64582759999999,16.1959601,3.30865552,16238,98.3167837,10.315309800000001,13.568426,7.95599305,12.2553448,0,AAR,180.5737929556849
581,DOUGLAS,IL,0.025,19464,778.56,19280,16,19,41,108,99.054665,0.08220304,0.09761611,0.21064529,0.55487053,12550,74.03187249999999,16.868525899999998,3.84063745,19140,98.33538840000001,9.62904911,13.293543099999999,7.92479531,8.71436256,0,AAR,188.2708829789491
583,EDGAR,IL,0.036000000000000004,19595,544.3055559999999,19469,68,24,24,10,99.3569788,0.3470273,0.12248022,0.12248022,0.05103343,13082,73.5208684,16.8399327,3.67680783,19258,98.2801735,16.0037387,22.827628100000002,14.480956699999998,11.762013699999999,0,AAR,158.45466314993035
584,EDWARDS,IL,0.013999999999999999,7440,531.428571,7401,6,8,19,6,99.47580649999999,0.08064516,0.10752688,0.25537634,0.08064516,5019,69.67523409999998,16.935644600000003,2.45068739,7350,98.7903226,12.204081599999999,15.1598677,10.950250099999998,11.859527900000002,0,AAR,156.8156632277134
585,EFFINGHAM,IL,0.027999999999999997,31704,1132.2857099999999,31523,12,45,95,29,99.4290941,0.03785011,0.14193793,0.29964673,0.09147111,19477,74.9550752,20.2751964,3.7839503,31229,98.5017663,8.99484454,11.599832000000001,6.97446574,10.5174981,0,AAR,233.29356578677545
586,FAYETTE,IL,0.044000000000000004,20893,474.840909,20148,599,40,35,71,96.4342124,2.86698894,0.19145168,0.16752022,0.33982674,13894,68.7922844,13.602994099999998,2.98690082,19452,93.1029531,13.618136999999999,16.627634699999998,12.134146300000001,13.435828899999999,0,AAR,149.61310970944498
587,FORD,IL,0.03,14275,475.833333,14157,43,14,40,21,99.17338000000001,0.30122592,0.09807356,0.28021016,0.14711033,9592,77.1684737,17.827356100000003,3.89908257,13860,97.0928196,9.26406926,13.5712279,7.32528768,8.78740157,0,AAR,149.73942676726608
588,FRANKLIN,IL,0.025,40319,1612.76,40068,36,106,84,25,99.3774647,0.08928793,0.26290335,0.2083385,0.06200551,27214,66.6642169,14.705666199999998,2.43257147,39703,98.4721843,20.764174,31.074741999999997,19.3135372,13.6794859,0,LHR,294.4489778601178
589,FULTON,IL,0.052000000000000005,38080,732.307692,37117,668,83,105,107,97.47111340000001,1.75420168,0.21796218,0.27573529,0.28098739,25592,73.847296,15.5321976,2.99703032,36393,95.56985290000001,15.494738,22.812225199999997,13.996573099999999,11.019603300000002,0,AAR,182.3838271802233
590,GALLATIN,IL,0.019,6909,363.631579,6842,42,10,11,4,99.03025040000001,0.60790274,0.14473875,0.15921262,0.0578955,4680,58.4188034,11.367521400000001,2.69230769,6737,97.5104936,21.4338726,29.7246558,20.005596,16.2300319,0,LHR,135.45823702614217
591,GREENE,IL,0.033,15317,464.151515,15231,14,50,17,5,99.43853229999999,0.09140171,0.32643468,0.11098779,0.03264347,10031,69.0459575,13.0495464,2.71159406,15096,98.5571587,15.5339163,20.030082699999998,13.444049,14.9431818,0,AAR,148.25254930384176
592,GRUNDY,IL,0.026000000000000002,32337,1243.73077,31864,21,45,113,294,98.5372793,0.06494109,0.13915948,0.34944491,0.90917525,20541,78.96402320000001,18.3778784,3.93846453,31979,98.89290909999998,6.616842299999999,6.93047172,5.32733914,10.4620084,1,ALU,247.47844250065407
593,HAMILTON,IL,0.025,8499,339.96,8462,3,11,21,2,99.5646547,0.03529827,0.12942699,0.24708789,0.02353218,5859,59.99317289999999,14.0467657,2.61136713,8383,98.6351335,19.849695800000003,21.9232686,17.0501332,23.1419671,0,LHR,132.4452867012212
594,HANCOCK,IL,0.047,21373,454.74468099999996,21272,26,25,37,13,99.5274412,0.12164881,0.11697001,0.17311561,0.0608244,14322,77.53805329999999,20.6605223,3.86119257,20943,97.98811579999999,11.7843671,14.6202065,9.82946027,12.915205300000002,0,AAR,147.05523485528818
