"date","mdeaths","fdeaths"
Jan 1974,2134,901
Feb 1974,1863,689
Mar 1974,1877,827
Apr 1974,1877,677
May 1974,1492,522
Jun 1974,1249,406
Jul 1974,1280,441
Aug 1974,1131,393
Sep 1974,1209,387
Oct 1974,1492,582
Nov 1974,1621,578
Dec 1974,1846,666
Jan 1975,2103,830
Feb 1975,2137,752
Mar 1975,2153,785
Apr 1975,1833,664
May 1975,1403,467
Jun 1975,1288,438
Jul 1975,1186,421
Aug 1975,1133,412
Sep 1975,1053,343
Oct 1975,1347,440
Nov 1975,1545,531
Dec 1975,2066,771
Jan 1976,2020,767
Feb 1976,2750,1141
Mar 1976,2283,896
Apr 1976,1479,532
May 1976,1189,447
Jun 1976,1160,420
Jul 1976,1113,376
Aug 1976,970,330
Sep 1976,999,357
Oct 1976,1208,445
Nov 1976,1467,546
Dec 1976,2059,764
Jan 1977,2240,862
Feb 1977,1634,660
Mar 1977,1722,663
Apr 1977,1801,643
May 1977,1246,502
Jun 1977,1162,392
Jul 1977,1087,411
Aug 1977,1013,348
Sep 1977,959,387
Oct 1977,1179,385
Nov 1977,1229,411
Dec 1977,1655,638
Jan 1978,2019,796
Feb 1978,2284,853
Mar 1978,1942,737
Apr 1978,1423,546
May 1978,1340,530
Jun 1978,1187,446
Jul 1978,1098,431
Aug 1978,1004,362
Sep 1978,970,387
Oct 1978,1140,430
Nov 1978,1110,425
Dec 1978,1812,679
Jan 1979,2263,821
Feb 1979,1820,785
Mar 1979,1846,727
Apr 1979,1531,612
May 1979,1215,478
Jun 1979,1075,429
Jul 1979,1056,405
Aug 1979,975,379
Sep 1979,940,393
Oct 1979,1081,411
Nov 1979,1294,487
Dec 1979,1341,574
