"Year","Month","Make","Model","Quantity","Pct"
2007,1,"Volkswagen ","Volkswagen Passat",1267,10
2007,1,"Toyota ","Toyota Rav4",819,6.5
2007,1,"Toyota ","Toyota Avensis",787,6.2
2007,1,"Volkswagen ","Volkswagen Golf",720,5.7
2007,1,"Toyota ","Toyota Corolla",691,5.4
2007,1,"Peugeot ","Peugeot 307",481,3.8
2007,1,"Skoda ","Skoda Octavia",481,3.8
2007,1,"Toyota ","Toyota Yaris",402,3.2
2007,1,"Ford ","Ford Focus",400,3.2
2007,1,"Volvo ","Volvo V50",346,2.7
2007,1,"Peugeot ","Peugeot 207",320,2.5
2007,1,"Audi ","Audi A4",269,2.1
2007,1,"Volkswagen ","Volkswagen Touran",235,1.9
2007,1,"Ford ","Ford S-Max",231,1.8
2007,1,"Opel ","Opel Astra",218,1.7
2007,1,"Volkswagen ","Volkswagen Polo",218,1.7
2007,1,"Audi ","Audi A3",202,1.6
2007,1,"BMW ","BMW 3-serie",183,1.4
2007,1,"Opel ","Opel Vectra",178,1.4
2007,1,"Honda ","Honda CR-V",172,1.4
2007,2,"Volkswagen ","Volkswagen Passat",602,6.1
2007,2,"Toyota ","Toyota Avensis",540,5.5
2007,2,"Toyota ","Toyota Corolla",505,5.2
2007,2,"Volkswagen ","Volkswagen Golf",442,4.5
2007,2,"Toyota ","Toyota Yaris",353,3.6
2007,2,"Toyota ","Toyota Rav4",346,3.5
2007,2,"Skoda ","Skoda Octavia",334,3.4
2007,2,"Peugeot ","Peugeot 307",308,3.1
2007,2,"Ford ","Ford Focus",296,3
2007,2,"Volvo ","Volvo V70",228,2.3
2007,2,"Honda ","Honda CR-V",225,2.3
2007,2,"Opel ","Opel Astra",221,2.3
2007,2,"Audi ","Audi A4",191,2
2007,2,"Volkswagen ","Volkswagen Touran",189,1.9
2007,2,"Peugeot ","Peugeot 207",185,1.9
2007,2,"Volvo ","Volvo V50",179,1.8
2007,2,"Audi ","Audi A3",165,1.7
2007,2,"Volkswagen ","Volkswagen Polo",162,1.7
2007,2,"Ford ","Ford S-Max",151,1.5
2007,2,"BMW ","BMW 3-serie",149,1.5
2007,3,"Volkswagen ","Volkswagen Passat",521,4.6
2007,3,"Toyota ","Toyota Avensis",521,4.6
2007,3,"Volkswagen ","Volkswagen Golf",402,3.6
2007,3,"Peugeot ","Peugeot 307",371,3.3
2007,3,"Toyota ","Toyota Corolla",313,2.8
2007,3,"Toyota ","Toyota Rav4",312,2.8
2007,3,"Ford ","Ford Focus",311,2.8
2007,3,"Skoda ","Skoda Octavia",295,2.6
2007,3,"Toyota ","Toyota Yaris",267,2.4
2007,3,"Honda ","Honda CR-V",266,2.4
2007,3,"Audi ","Audi A4",239,2.1
2007,3,"Volvo ","Volvo V70",236,2.1
2007,3,"Peugeot ","Peugeot 207",229,2
2007,3,"Ford ","Ford S-Max",219,1.9
2007,3,"Saab ","Saab 9-3",214,1.9
