datetime,Make,Model,Quantity,Pct
2007-01-01,Volkswagen,Volkswagen Passat,1267,10.0
2007-01-01,Toyota,Toyota Rav4,819,6.5
2007-01-01,Toyota,Toyota Avensis,787,6.2
2007-01-01,Volkswagen,Volkswagen Golf,720,5.7
2007-01-01,Toyota,Toyota Corolla,691,5.4
2007-01-01,Peugeot,Peugeot 307,481,3.8
2007-01-01,Skoda,Skoda Octavia,481,3.8
2007-01-01,Toyota,Toyota Yaris,402,3.2
2007-01-01,Ford,Ford Focus,400,3.2
2007-01-01,Volvo,Volvo V50,346,2.7
2007-01-01,Peugeot,Peugeot 207,320,2.5
2007-01-01,Audi,Audi A4,269,2.1
2007-01-01,Volkswagen,Volkswagen Touran,235,1.9
2007-01-01,Ford,Ford S-Max,231,1.8
2007-01-01,Opel,Opel Astra,218,1.7
2007-01-01,Volkswagen,Volkswagen Polo,218,1.7
2007-01-01,Audi,Audi A3,202,1.6
2007-01-01,BMW,BMW 3-serie,183,1.4
2007-01-01,Opel,Opel Vectra,178,1.4
2007-01-01,Honda,Honda CR-V,172,1.4
2007-02-01,Volkswagen,Volkswagen Passat,602,6.1
2007-02-01,Toyota,Toyota Avensis,540,5.5
2007-02-01,Toyota,Toyota Corolla,505,5.2
2007-02-01,Volkswagen,Volkswagen Golf,442,4.5
2007-02-01,Toyota,Toyota Yaris,353,3.6
2007-02-01,Toyota,Toyota Rav4,346,3.5
2007-02-01,Skoda,Skoda Octavia,334,3.4
2007-02-01,Peugeot,Peugeot 307,308,3.1
2007-02-01,Ford,Ford Focus,296,3.0
2007-02-01,Volvo,Volvo V70,228,2.3
2007-02-01,Honda,Honda CR-V,225,2.3
2007-02-01,Opel,Opel Astra,221,2.3
2007-02-01,Audi,Audi A4,191,2.0
2007-02-01,Volkswagen,Volkswagen Touran,189,1.9
2007-02-01,Peugeot,Peugeot 207,185,1.9
2007-02-01,Volvo,Volvo V50,179,1.8
2007-02-01,Audi,Audi A3,165,1.7
2007-02-01,Volkswagen,Volkswagen Polo,162,1.7
2007-02-01,Ford,Ford S-Max,151,1.5
2007-02-01,BMW,BMW 3-serie,149,1.5
2007-03-01,Volkswagen,Volkswagen Passat,521,4.6
2007-03-01,Toyota,Toyota Avensis,521,4.6
2007-03-01,Volkswagen,Volkswagen Golf,402,3.6
2007-03-01,Peugeot,Peugeot 307,371,3.3
2007-03-01,Toyota,Toyota Corolla,313,2.8
2007-03-01,Toyota,Toyota Rav4,312,2.8
2007-03-01,Ford,Ford Focus,311,2.8
2007-03-01,Skoda,Skoda Octavia,295,2.6
2007-03-01,Toyota,Toyota Yaris,267,2.4
2007-03-01,Honda,Honda CR-V,266,2.4
2007-03-01,Audi,Audi A4,239,2.1
2007-03-01,Volvo,Volvo V70,236,2.1
2007-03-01,Peugeot,Peugeot 207,229,2.0
2007-03-01,Ford,Ford S-Max,219,1.9
2007-03-01,Saab,Saab 9-3,214,1.9
2007-03-01,Opel,Opel Astra,211,1.9
2007-03-01,Volvo,Volvo V50,197,1.7
2007-03-01,Volkswagen,Volkswagen Polo,197,1.7
2007-03-01,Volkswagen,Volkswagen Touran,194,1.7
2007-03-01,Audi,Audi A3,184,1.6
2007-04-01,Volkswagen,Volkswagen Passat,375,4.2
2007-04-01,Volkswagen,Volkswagen Golf,342,3.9
2007-04-01,Peugeot,Peugeot 307,270,3.0
2007-04-01,Skoda,Skoda Octavia,253,2.9
2007-04-01,Volvo,Volvo V70,248,2.8
2007-04-01,Toyota,Toyota Avensis,245,2.8
2007-04-01,Toyota,Toyota Corolla,236,2.7
2007-04-01,Toyota,Toyota Rav4,229,2.6
2007-04-01,Volkswagen,Volkswagen Touran,229,2.6
2007-04-01,Honda,Honda CR-V,215,2.4
2007-04-01,Toyota,Toyota Yaris,198,2.2
2007-04-01,Audi,Audi A3,196,2.2
2007-04-01,Audi,Audi A4,194,2.2
2007-04-01,Volkswagen,Volkswagen Polo,167,1.9
2007-04-01,Saab,Saab 9-3,167,1.9
2007-04-01,Opel,Opel Astra,152,1.7
2007-04-01,Ford,Ford Focus,147,1.7
2007-04-01,Peugeot,Peugeot 207,139,1.6
2007-04-01,Ford,Ford S-Max,117,1.3
2007-04-01,Volvo,Volvo V50,111,1.3
2007-05-01,Volkswagen,Volkswagen Golf,669,5.6
2007-05-01,Volkswagen,Volkswagen Passat,607,5.1
2007-05-01,Toyota,Toyota Auris,443,3.7
2007-05-01,Volvo,Volvo V70,403,3.4
2007-05-01,Toyota,Toyota Avensis,383,3.2
2007-05-01,Toyota,Toyota Rav4,368,3.1
2007-05-01,Honda,Honda CR-V,349,2.9
