"Year","Month","Quantity","Quantity_YoY","Import","Import_YoY","Used","Used_YoY","Avg_CO2","Bensin_Co2","Diesel_Co2","Quantity_Diesel","Diesel_Share","Diesel_Share_LY","Quantity_Hybrid","Quantity_Electric","Import_Electric"
2007,1,12685,5227,2276,257,NA,NA,152,155,152,10072,79.4,52.5,NA,NA,NA
2007,2,9793,2448,1992,-89,NA,NA,156,159,155,7222,73.7,47.4,NA,NA,NA
2007,3,11264,1445,2626,45,NA,NA,159,161,158,7965,70.7,48.1,NA,NA,NA
2007,4,8854,504,2220,-130,NA,NA,160,165,158,6116,69.1,48.4,NA,NA,NA
2007,5,12007,1592,2881,7,NA,NA,160,163,159,8519,71,49.1,NA,NA,NA
2007,6,11083,1545,3038,23,NA,NA,161,163,160,8290,74.8,49.5,NA,NA,NA
2007,7,12062,1908,3768,137,NA,NA,159,161,158,9203,76.3,50.1,NA,NA,NA
2007,8,10786,1993,3419,260,NA,NA,160,160,160,7949,73.7,50.3,NA,NA,NA
2007,9,9340,498,2897,-28,NA,NA,160,160,160,7005,75,50.5,NA,NA,NA
2007,10,11646,2973,3185,597,NA,NA,159,160,159,8967,77,48.3,NA,NA,NA
2007,11,10453,1709,2957,544,NA,NA,160,161,159,7683,73.5,46.6,NA,NA,NA
2007,12,9222,-1811,2097,-1257,NA,NA,162,162,164,7046,76.4,41.1,NA,NA,NA
2008,1,9901,-2784,2287,11,NA,NA,158,155,159,7248,73.2,79.4,NA,NA,NA
2008,2,10567,774,2627,635,NA,NA,160,159,160,7926,75,74.1,NA,NA,NA
2008,3,9506,-1758,2270,-356,NA,NA,159,160,159,6936,73,70.7,NA,NA,NA
2008,4,11704,2850,2930,710,NA,NA,159,160,158,8545,73,69.1,NA,NA,NA
2008,5,10217,-1790,2747,-134,NA,NA,157,159,156,7588,74.3,71,NA,NA,NA
2008,6,9670,-1413,2531,-507,NA,NA,158,160,158,7095,73.4,74.8,NA,NA,NA
2008,7,9605,-2457,3027,-741,NA,NA,157,159,157,6696,69.7,76.3,NA,NA,NA
2008,8,7833,-2953,2358,-1061,NA,NA,157,159,157,5434,69.4,73.7,NA,NA,NA
2008,9,8453,-887,2382,-515,NA,NA,157,158,156,5962,70.5,75,NA,NA,NA
2008,10,8390,-3256,1851,-1334,NA,NA,158,158,159,5962,68.7,77,NA,NA,NA
2008,11,6952,-3501,1147,-1810,NA,NA,160,159,160,5033,72.4,73.5,NA,NA,NA
2008,12,7819,-1403,1061,-1036,NA,NA,156,165,166,5864,75,76.4,NA,NA,NA
2009,1,5353,-4548,1048,-1239,NA,NA,152,149,153,3603,67.3,73.2,NA,NA,NA
2009,2,6287,-4280,1178,-1449,NA,NA,154,151,156,4394,69.9,75,NA,NA,NA
2009,3,7601,-1905,1632,-638,NA,NA,154,152,156,5337,70.2,73,NA,NA,NA
2009,4,7504,-4200,1955,-975,NA,NA,153,151,155,5272,70.3,73,NA,NA,NA
2009,5,7421,-2796,2008,-739,NA,NA,151,150,151,5357,72.2,74.3,NA,NA,NA
2009,6,7581,-2089,1874,-657,NA,NA,153,153,153,5550,73.2,73.4,NA,NA,NA
2009,7,9394,-211,2838,-189,NA,NA,150,151,150,6952,74,69.7,NA,NA,NA
2009,8,7967,134,2250,-108,NA,NA,147,144,149,5489,68.9,69.4,NA,NA,NA
2009,9,9530,1077,2586,204,NA,NA,145,137,149,6700,70.3,70.5,NA,NA,NA
2009,10,10187,1797,2617,766,NA,NA,146,141,148,7426,72.9,68.7,NA,NA,NA
2009,11,9600,2648,2442,1295,NA,NA,148,144,150,7325,76.3,72.4,NA,NA,NA
2009,12,10250,2431,2395,1334,NA,NA,158,153,159,8341,81.4,75,NA,NA,NA
2010,1,9697,4344,1715,667,NA,NA,137,134,138,6972,71.9,67.3,NA,NA,NA
2010,2,9094,2807,1984,806,NA,NA,144,141,145,6739,74.1,69.9,NA,NA,NA
2010,3,11486,3885,2531,899,NA,NA,144,142,145,8534,74.3,70.2,NA,NA,NA
2010,4,10677,3173,2548,593,NA,NA,142,141,144,7784,72.9,70.3,NA,NA,NA
2010,5,9896,2475,2495,487,NA,NA,141,140,143,7204,72.8,72.2,NA,NA,NA
2010,6,11119,3538,2674,800,NA,NA,142,142,142,8328,74.9,73.2,NA,NA,NA
2010,7,11507,2113,3183,345,NA,NA,140,140,141,8780,76.3,74,NA,NA,NA
2010,8,10414,2447,2671,421,NA,NA,138,137,140,7665,73.6,68.9,NA,NA,NA
2010,9,11137,1607,2723,137,NA,NA,138,134,141,8275,74.3,70.3,NA,NA,NA
2010,10,10683,496,2472,-145,NA,NA,138,134,140,8215,76.9,72.9,NA,NA,NA
2010,11,11908,2308,2263,-179,NA,NA,140,138,141,9253,77.7,76.3,NA,NA,NA
2010,12,10136,-114,1755,-640,NA,NA,144,141,146,7987,78.8,81.4,NA,NA,NA
2011,1,10372,675,1765,50,NA,NA,135,132,138,7260,70,71.9,439,112,NA
2011,2,10543,1449,1949,-35,NA,NA,137,132,140,7949,75.4,74.1,257,124,NA
2011,3,12901,1415,2237,-294,NA,NA,136,132,141,9353,72.5,74.3,466,248,NA
2011,4,11330,653,2170,-378,NA,NA,136,132,139,8509,75.1,72.9,388,133,NA
