purchase_time,purchase_date,quantity
2017-05-16 13:10:30,2017-05-16,5
2017-05-16 19:41:10,2017-05-16,3
2017-05-19 18:53:40,2017-05-19,2
2017-05-18 13:55:47,2017-05-18,1
2017-05-14 20:28:25,2017-05-14,3
2017-06-13 21:11:26,2017-06-13,13
2017-05-09 20:48:59,2017-05-09,13
2017-05-17 08:36:11,2017-05-17,7
2017-05-15 16:29:03,2017-05-15,3
2017-05-09 11:48:37,2017-05-09,9
2017-05-18 20:59:24,2017-05-18,14
2017-06-05 13:24:46,2017-06-05,11
2017-06-04 10:05:59,2017-06-04,6
2017-05-23 15:28:58,2017-05-23,6
2017-05-20 02:48:00,2017-05-20,13
2017-05-26 18:35:51,2017-05-26,3
2017-05-08 12:22:44,2017-05-08,2
2017-05-29 12:35:44,2017-05-29,11
2017-05-19 18:13:54,2017-05-19,5
2017-06-02 14:00:19,2017-06-02,12
2017-05-10 14:03:27,2017-05-10,12
2017-05-11 09:13:17,2017-05-11,1
2017-06-08 21:18:45,2017-06-08,2
2017-06-13 11:13:38,2017-06-13,14
2017-05-21 21:10:35,2017-05-21,13
2017-05-03 14:31:43,2017-05-03,3
2017-05-08 14:59:40,2017-05-08,1
2017-05-08 16:31:38,2017-05-08,2
2017-05-19 14:12:50,2017-05-19,4
2017-05-11 21:36:10,2017-05-11,7
2017-05-31 20:57:49,2017-05-31,6
2017-05-02 16:35:06,2017-05-02,6
2017-05-14 09:36:36,2017-05-14,6
2017-05-06 11:20:18,2017-05-06,6
2017-05-23 20:19:03,2017-05-23,5
2017-05-07 13:53:39,2017-05-07,11
2017-06-05 08:45:30,2017-06-05,3
2017-05-25 13:50:11,2017-05-25,3
2017-05-06 12:28:42,2017-05-06,1
2017-06-05 11:44:22,2017-06-05,4
2017-06-10 18:02:25,2017-06-10,12
2017-05-16 21:30:59,2017-05-16,1
2017-05-14 14:56:41,2017-05-14,5
2017-05-05 13:48:37,2017-05-05,13
2017-06-06 00:11:09,2017-06-06,12
2017-05-12 10:51:43,2017-05-12,9
2017-05-18 09:34:58,2017-05-18,5
2017-06-15 16:02:23,2017-06-15,5
2017-05-14 19:00:05,2017-05-14,11
2017-05-05 13:35:44,2017-05-05,9
2017-06-02 10:18:35,2017-06-02,13
2017-05-22 15:57:42,2017-05-22,10
2017-05-22 10:27:43,2017-05-22,7
2017-05-05 08:45:28,2017-05-05,10
2017-05-02 22:36:47,2017-05-02,12
2017-05-31 11:02:39,2017-05-31,5
2017-05-24 10:11:27,2017-05-24,10
2017-05-17 23:39:36,2017-05-17,1
