"date","value"
1949-02-01,6
1949-03-01,14
1949-04-01,-3
1949-05-01,-8
1949-06-01,14
1949-07-01,13
1949-08-01,0
1949-09-01,-12
1949-10-01,-17
1949-11-01,-15
1949-12-01,14
1950-01-01,-3
1950-02-01,11
1950-03-01,15
1950-04-01,-6
1950-05-01,-10
1950-06-01,24
1950-07-01,21
1950-08-01,0
1950-09-01,-12
1950-10-01,-25
1950-11-01,-19
1950-12-01,26
1951-01-01,5
1951-02-01,5
1951-03-01,28
1951-04-01,-15
1951-05-01,9
1951-06-01,6
1951-07-01,21
1951-08-01,0
1951-09-01,-15
1951-10-01,-22
1951-11-01,-16
1951-12-01,20
1952-01-01,5
1952-02-01,9
1952-03-01,13
1952-04-01,-12
1952-05-01,2
1952-06-01,35
1952-07-01,12
1952-08-01,12
1952-09-01,-33
1952-10-01,-18
1952-11-01,-19
1952-12-01,22
1953-01-01,2
1953-02-01,0
1953-03-01,40
1953-04-01,-1
1953-05-01,-6
1953-06-01,14
1953-07-01,21
1953-08-01,8
1953-09-01,-35
1953-10-01,-26
1953-11-01,-31
1953-12-01,21
1954-01-01,3
1954-02-01,-16
1954-03-01,47
1954-04-01,-8
1954-05-01,7
1954-06-01,30
1954-07-01,38
1954-08-01,-9
1954-09-01,-34
1954-10-01,-30
1954-11-01,-26
1954-12-01,26
1955-01-01,13
1955-02-01,-9
1955-03-01,34
1955-04-01,2
1955-05-01,1
1955-06-01,45
1955-07-01,49
1955-08-01,-17
1955-09-01,-35
1955-10-01,-38
1955-11-01,-37
1955-12-01,41
1956-01-01,6
1956-02-01,-7
1956-03-01,40
1956-04-01,-4
1956-05-01,5
1956-06-01,56
1956-07-01,39
1956-08-01,-8
1956-09-01,-50
1956-10-01,-49
1956-11-01,-35
1956-12-01,35
1957-01-01,9
1957-02-01,-14
1957-03-01,55
1957-04-01,-8
1957-05-01,7
1957-06-01,67
1957-07-01,43
1957-08-01,2
1957-09-01,-63
1957-10-01,-57
1957-11-01,-42
1957-12-01,31
1958-01-01,4
1958-02-01,-22
1958-03-01,44
1958-04-01,-14
1958-05-01,15
1958-06-01,72
1958-07-01,56
1958-08-01,14
1958-09-01,-101
1958-10-01,-45
1958-11-01,-49
1958-12-01,27
1959-01-01,23
1959-02-01,-18
1959-03-01,64
1959-04-01,-10
1959-05-01,24
1959-06-01,52
1959-07-01,76
1959-08-01,11
1959-09-01,-96
1959-10-01,-56
1959-11-01,-45
1959-12-01,43
1960-01-01,12
1960-02-01,-26
1960-03-01,28
1960-04-01,42
1960-05-01,11
1960-06-01,63
1960-07-01,87
1960-08-01,-16
1960-09-01,-98
1960-10-01,-47
1960-11-01,-71
1960-12-01,42
