Date,Price
14-08-2018,23.02
15-08-2018,23.15
16-08-2018,23.5
17-08-2018,23.4
20-08-2018,23.549999
21-08-2018,23.969999
22-08-2018,23.379999
23-08-2018,23.24
24-08-2018,23.219999
27-08-2018,23.66
28-08-2018,23.389999
29-08-2018,23.17
30-08-2018,22.940001
31-08-2018,22.77
04-09-2018,22.42
05-09-2018,22.379999
06-09-2018,22.4
07-09-2018,22.65
10-09-2018,22.370001
11-09-2018,22.58
12-09-2018,22.4
13-09-2018,22.290001
14-09-2018,22.43
17-09-2018,22.16
18-09-2018,22.1
19-09-2018,22.049999
20-09-2018,22.450001
21-09-2018,22.379999
24-09-2018,21.91
25-09-2018,21.85
26-09-2018,21.790001
27-09-2018,21.530001
28-09-2018,21.549999
01-10-2018,21.709999
02-10-2018,21.459999
03-10-2018,21.17
04-10-2018,20.780001
05-10-2018,20.76
08-10-2018,20.809999
09-10-2018,20.76
10-10-2018,20.610001
11-10-2018,20.26
12-10-2018,20.469999
15-10-2018,20.41
16-10-2018,20.67
17-10-2018,20.65
18-10-2018,20.23
19-10-2018,20.049999
22-10-2018,19.799999
23-10-2018,19.440001
24-10-2018,19.16
25-10-2018,19.32
26-10-2018,19.17
29-10-2018,18.889999
30-10-2018,18.870001
31-10-2018,19.059999
01-11-2018,14.97
02-11-2018,15.34
05-11-2018,15.73
06-11-2018,16.120001
07-11-2018,16.209999
08-11-2018,17.01
09-11-2018,17.200001
12-11-2018,17.049999
13-11-2018,16.92
14-11-2018,16.290001
15-11-2018,16.48
16-11-2018,16.610001
19-11-2018,16.139999
20-11-2018,15.67
21-11-2018,16.41
23-11-2018,16.15
26-11-2018,16.360001
27-11-2018,16.219999
28-11-2018,16.5
29-11-2018,16.790001
30-11-2018,17.040001
03-12-2018,17.190001
04-12-2018,16.51
06-12-2018,16.459999
07-12-2018,16.040001
10-12-2018,16.110001
11-12-2018,16.059999
12-12-2018,16.41
13-12-2018,15.77
14-12-2018,15.47
17-12-2018,14.77
18-12-2018,14.86
19-12-2018,14.89
20-12-2018,14.76
21-12-2018,14.71
24-12-2018,14.5
26-12-2018,15.13
27-12-2018,15.33
28-12-2018,15.61
31-12-2018,15.5
02-01-2019,15.59
03-01-2019,15.39
04-01-2019,15.94
07-01-2019,16.129999
08-01-2019,16.49
09-01-2019,16.58
10-01-2019,16.639999
11-01-2019,16.98
14-01-2019,16.860001
15-01-2019,16.99
16-01-2019,17
17-01-2019,19.26
18-01-2019,19.629999
22-01-2019,19.68
23-01-2019,19.66
24-01-2019,19.75
25-01-2019,19.43
28-01-2019,19.68
29-01-2019,19.709999
30-01-2019,19.610001
31-01-2019,19.450001
01-02-2019,19.709999
04-02-2019,19.74
05-02-2019,19.75
06-02-2019,19.41
07-02-2019,19.290001
08-02-2019,18.74
11-02-2019,18.92
12-02-2019,19.379999
13-02-2019,19.41
