"date","value"
1999-01-01,30.052513
1999-04-01,19.148496
1999-07-01,25.317692
1999-10-01,27.591437
2000-01-01,32.076456
2000-04-01,23.487961
2000-07-01,28.47594
2000-10-01,35.123753
2001-01-01,36.838485
2001-04-01,25.007017
2001-07-01,30.72223
2001-10-01,28.693759
2002-01-01,36.640986
2002-04-01,23.824609
2002-07-01,29.311683
2002-10-01,31.770309
2003-01-01,35.177877
2003-04-01,19.775244
2003-07-01,29.60175
2003-10-01,34.538842
2004-01-01,41.273599
2004-04-01,26.655862
2004-07-01,28.279859
2004-10-01,35.191153
2005-01-01,41.727458
2005-04-01,24.04185
2005-07-01,32.328103
2005-10-01,37.328708
2006-01-01,46.213153
2006-04-01,29.346326
2006-07-01,36.48291
2006-10-01,42.977719
2007-01-01,48.901525
2007-04-01,31.180221
2007-07-01,37.717881
2007-10-01,40.420211
2008-01-01,51.206863
2008-04-01,31.887228
2008-07-01,40.978263
2008-10-01,43.772491
2009-01-01,55.558567
2009-04-01,33.850915
2009-07-01,42.076383
2009-10-01,45.642292
2010-01-01,59.76678
2010-04-01,35.191877
2010-07-01,44.319737
2010-10-01,47.913736
