"year","yearmonthf","monthf","week","monthweek","weekdayf","VIX.Close"
2012,"Jan 2012","Jan",1,1,"Tue",22.969999
2012,"Jan 2012","Jan",1,1,"Wed",22.219999
2012,"Jan 2012","Jan",1,1,"Thu",21.48
2012,"Jan 2012","Jan",1,1,"Fri",20.629999
2012,"Jan 2012","Jan",2,2,"Mon",21.07
2012,"Jan 2012","Jan",2,2,"Tue",20.690001
2012,"Jan 2012","Jan",2,2,"Wed",21.049999
2012,"Jan 2012","Jan",2,2,"Thu",20.469999
2012,"Jan 2012","Jan",2,2,"Fri",20.91
2012,"Jan 2012","Jan",3,3,"Tue",22.200001
2012,"Jan 2012","Jan",3,3,"Wed",20.889999
2012,"Jan 2012","Jan",3,3,"Thu",19.870001
2012,"Jan 2012","Jan",3,3,"Fri",18.280001
2012,"Jan 2012","Jan",4,4,"Mon",18.67
2012,"Jan 2012","Jan",4,4,"Tue",18.91
2012,"Jan 2012","Jan",4,4,"Wed",18.309999
2012,"Jan 2012","Jan",4,4,"Thu",18.57
2012,"Jan 2012","Jan",4,4,"Fri",18.530001
2012,"Jan 2012","Jan",5,5,"Mon",19.4
2012,"Jan 2012","Jan",5,5,"Tue",19.440001
2012,"Feb 2012","Feb",5,1,"Wed",18.549999
2012,"Feb 2012","Feb",5,1,"Thu",17.98
2012,"Feb 2012","Feb",5,1,"Fri",17.1
2012,"Feb 2012","Feb",6,2,"Mon",17.76
2012,"Feb 2012","Feb",6,2,"Tue",17.67
2012,"Feb 2012","Feb",6,2,"Wed",18.16
2012,"Feb 2012","Feb",6,2,"Thu",18.629999
2012,"Feb 2012","Feb",6,2,"Fri",20.77
2012,"Feb 2012","Feb",7,3,"Mon",19.040001
2012,"Feb 2012","Feb",7,3,"Tue",19.540001
2012,"Feb 2012","Feb",7,3,"Wed",21.139999
2012,"Feb 2012","Feb",7,3,"Thu",19.219999
2012,"Feb 2012","Feb",7,3,"Fri",17.780001
2012,"Feb 2012","Feb",8,4,"Tue",18.190001
2012,"Feb 2012","Feb",8,4,"Wed",18.190001
2012,"Feb 2012","Feb",8,4,"Thu",16.83
2012,"Feb 2012","Feb",8,4,"Fri",17.309999
2012,"Feb 2012","Feb",9,5,"Mon",18.18
2012,"Feb 2012","Feb",9,5,"Tue",17.950001
2012,"Feb 2012","Feb",9,5,"Wed",18.43
2012,"Mar 2012","Mar",9,1,"Thu",17.26
2012,"Mar 2012","Mar",9,1,"Fri",17.290001
2012,"Mar 2012","Mar",10,2,"Mon",18.049999
2012,"Mar 2012","Mar",10,2,"Tue",20.84
2012,"Mar 2012","Mar",10,2,"Wed",19.07
2012,"Mar 2012","Mar",10,2,"Thu",18.02
2012,"Mar 2012","Mar",10,2,"Fri",17.110001
2012,"Mar 2012","Mar",11,3,"Mon",15.64
2012,"Mar 2012","Mar",11,3,"Tue",14.73
2012,"Mar 2012","Mar",11,3,"Wed",15.31
2012,"Mar 2012","Mar",11,3,"Thu",15.43
2012,"Mar 2012","Mar",11,3,"Fri",14.43
2012,"Mar 2012","Mar",12,4,"Mon",15.04
2012,"Mar 2012","Mar",12,4,"Tue",15.58
2012,"Mar 2012","Mar",12,4,"Wed",15.13
2012,"Mar 2012","Mar",12,4,"Thu",15.68
2012,"Mar 2012","Mar",12,4,"Fri",14.82
2012,"Mar 2012","Mar",13,5,"Mon",14.26
2012,"Mar 2012","Mar",13,5,"Tue",15.57
2012,"Mar 2012","Mar",13,5,"Wed",15.47
2012,"Mar 2012","Mar",13,5,"Thu",15.48
2012,"Mar 2012","Mar",13,5,"Fri",15.5
2012,"Apr 2012","Apr",14,1,"Mon",15.64
2012,"Apr 2012","Apr",14,1,"Tue",15.66
2012,"Apr 2012","Apr",14,1,"Wed",16.42
2012,"Apr 2012","Apr",14,1,"Thu",16.700001
2012,"Apr 2012","Apr",15,2,"Mon",18.809999
2012,"Apr 2012","Apr",15,2,"Tue",20.389999
2012,"Apr 2012","Apr",15,2,"Wed",20.02
2012,"Apr 2012","Apr",15,2,"Thu",17.200001
2012,"Apr 2012","Apr",15,2,"Fri",19.549999
2012,"Apr 2012","Apr",16,3,"Mon",19.549999
2012,"Apr 2012","Apr",16,3,"Tue",18.459999
2012,"Apr 2012","Apr",16,3,"Wed",18.639999
2012,"Apr 2012","Apr",16,3,"Thu",18.360001
2012,"Apr 2012","Apr",16,3,"Fri",17.440001
2012,"Apr 2012","Apr",17,4,"Mon",18.969999
2012,"Apr 2012","Apr",17,4,"Tue",18.1
2012,"Apr 2012","Apr",17,4,"Wed",16.82
2012,"Apr 2012","Apr",17,4,"Thu",16.24
2012,"Apr 2012","Apr",17,4,"Fri",16.32
2012,"Apr 2012","Apr",18,5,"Mon",17.15
2012,"May 2012","May",18,1,"Tue",16.6
2012,"May 2012","May",18,1,"Wed",16.879999
2012,"May 2012","May",18,1,"Thu",17.559999
2012,"May 2012","May",18,1,"Fri",19.16
2012,"May 2012","May",19,2,"Mon",18.940001
2012,"May 2012","May",19,2,"Tue",19.049999
2012,"May 2012","May",19,2,"Wed",20.08
2012,"May 2012","May",19,2,"Thu",18.83
2012,"May 2012","May",19,2,"Fri",19.889999
2012,"May 2012","May",20,3,"Mon",21.870001
2012,"May 2012","May",20,3,"Tue",21.969999
2012,"May 2012","May",20,3,"Wed",22.27
2012,"May 2012","May",20,3,"Thu",24.49
2012,"May 2012","May",20,3,"Fri",25.1
2012,"May 2012","May",21,4,"Mon",22.01
2012,"May 2012","May",21,4,"Tue",22.48
2012,"May 2012","May",21,4,"Wed",22.33
2012,"May 2012","May",21,4,"Thu",21.540001
2012,"May 2012","May",21,4,"Fri",21.76
2012,"May 2012","May",22,5,"Tue",21.030001
2012,"May 2012","May",22,5,"Wed",24.139999
2012,"May 2012","May",22,5,"Thu",24.059999
2012,"Jun 2012","Jun",22,1,"Fri",26.66
2012,"Jun 2012","Jun",23,2,"Mon",26.120001
2012,"Jun 2012","Jun",23,2,"Tue",24.68
2012,"Jun 2012","Jun",23,2,"Wed",22.16
2012,"Jun 2012","Jun",23,2,"Thu",21.719999
2012,"Jun 2012","Jun",23,2,"Fri",21.23
2012,"Jun 2012","Jun",24,3,"Mon",23.559999
2012,"Jun 2012","Jun",24,3,"Tue",22.09
2012,"Jun 2012","Jun",24,3,"Wed",24.27
2012,"Jun 2012","Jun",24,3,"Thu",21.68
2012,"Jun 2012","Jun",24,3,"Fri",21.110001
2012,"Jun 2012","Jun",25,4,"Mon",18.32
2012,"Jun 2012","Jun",25,4,"Tue",18.379999
2012,"Jun 2012","Jun",25,4,"Wed",17.24
2012,"Jun 2012","Jun",25,4,"Thu",20.08
2012,"Jun 2012","Jun",25,4,"Fri",18.110001
2012,"Jun 2012","Jun",26,5,"Mon",20.379999
2012,"Jun 2012","Jun",26,5,"Tue",19.719999
2012,"Jun 2012","Jun",26,5,"Wed",19.450001
2012,"Jun 2012","Jun",26,5,"Thu",19.709999
2012,"Jun 2012","Jun",26,5,"Fri",17.08
2012,"Jul 2012","Jul",27,1,"Mon",16.799999
2012,"Jul 2012","Jul",27,1,"Tue",16.66
2012,"Jul 2012","Jul",27,1,"Thu",17.5
2012,"Jul 2012","Jul",27,1,"Fri",17.1
2012,"Jul 2012","Jul",28,2,"Mon",18.049999
2012,"Jul 2012","Jul",28,2,"Tue",18.719999
2012,"Jul 2012","Jul",28,2,"Wed",17.950001
2012,"Jul 2012","Jul",28,2,"Thu",18.360001
2012,"Jul 2012","Jul",28,2,"Fri",16.74
2012,"Jul 2012","Jul",29,3,"Mon",17.110001
2012,"Jul 2012","Jul",29,3,"Tue",16.48
2012,"Jul 2012","Jul",29,3,"Wed",16.16
2012,"Jul 2012","Jul",29,3,"Thu",15.45
2012,"Jul 2012","Jul",29,3,"Fri",16.27
2012,"Jul 2012","Jul",30,4,"Mon",18.620001
2012,"Jul 2012","Jul",30,4,"Tue",20.469999
2012,"Jul 2012","Jul",30,4,"Wed",19.34
2012,"Jul 2012","Jul",30,4,"Thu",17.530001
2012,"Jul 2012","Jul",30,4,"Fri",16.700001
2012,"Jul 2012","Jul",31,5,"Mon",18.030001
2012,"Jul 2012","Jul",31,5,"Tue",18.93
2012,"Aug 2012","Aug",31,1,"Wed",18.959999
2012,"Aug 2012","Aug",31,1,"Thu",17.57
2012,"Aug 2012","Aug",31,1,"Fri",15.64
2012,"Aug 2012","Aug",32,2,"Mon",15.95
2012,"Aug 2012","Aug",32,2,"Tue",15.99
2012,"Aug 2012","Aug",32,2,"Wed",15.32
2012,"Aug 2012","Aug",32,2,"Thu",15.28
2012,"Aug 2012","Aug",32,2,"Fri",14.74
2012,"Aug 2012","Aug",33,3,"Mon",13.7
2012,"Aug 2012","Aug",33,3,"Tue",14.85
2012,"Aug 2012","Aug",33,3,"Wed",14.63
2012,"Aug 2012","Aug",33,3,"Thu",14.29
2012,"Aug 2012","Aug",33,3,"Fri",13.45
2012,"Aug 2012","Aug",34,4,"Mon",14.02
2012,"Aug 2012","Aug",34,4,"Tue",15.02
2012,"Aug 2012","Aug",34,4,"Wed",15.11
2012,"Aug 2012","Aug",34,4,"Thu",15.96
2012,"Aug 2012","Aug",34,4,"Fri",15.18
2012,"Aug 2012","Aug",35,5,"Mon",16.35
2012,"Aug 2012","Aug",35,5,"Tue",16.49
2012,"Aug 2012","Aug",35,5,"Wed",17.059999
2012,"Aug 2012","Aug",35,5,"Thu",17.83
2012,"Aug 2012","Aug",35,5,"Fri",17.469999
2012,"Sep 2012","Sep",36,1,"Tue",17.98
2012,"Sep 2012","Sep",36,1,"Wed",17.74
2012,"Sep 2012","Sep",36,1,"Thu",15.63
2012,"Sep 2012","Sep",36,1,"Fri",14.38
2012,"Sep 2012","Sep",37,2,"Mon",16.280001
2012,"Sep 2012","Sep",37,2,"Tue",16.41
2012,"Sep 2012","Sep",37,2,"Wed",15.8
2012,"Sep 2012","Sep",37,2,"Thu",14.05
2012,"Sep 2012","Sep",37,2,"Fri",14.51
2012,"Sep 2012","Sep",38,3,"Mon",14.59
2012,"Sep 2012","Sep",38,3,"Tue",14.18
2012,"Sep 2012","Sep",38,3,"Wed",13.88
2012,"Sep 2012","Sep",38,3,"Thu",14.07
2012,"Sep 2012","Sep",38,3,"Fri",13.98
2012,"Sep 2012","Sep",39,4,"Mon",14.15
2012,"Sep 2012","Sep",39,4,"Tue",15.43
2012,"Sep 2012","Sep",39,4,"Wed",16.809999
2012,"Sep 2012","Sep",39,4,"Thu",14.84
2012,"Sep 2012","Sep",39,4,"Fri",15.73
2012,"Oct 2012","Oct",40,1,"Mon",16.32
2012,"Oct 2012","Oct",40,1,"Tue",15.71
2012,"Oct 2012","Oct",40,1,"Wed",15.43
2012,"Oct 2012","Oct",40,1,"Thu",14.55
2012,"Oct 2012","Oct",40,1,"Fri",14.33
2012,"Oct 2012","Oct",41,2,"Mon",15.11
